geoid,measure,value,year
51013100300,employment_access_sqmi,70997,2015
51013100400,employment_access_sqmi,105146,2015
51013100500,employment_access_sqmi,110020,2015
51013100600,employment_access_sqmi,130076,2015
51013100700,employment_access_sqmi,110939,2015
51013100800,employment_access_sqmi,92050,2015
51013100900,employment_access_sqmi,93833,2015
51013101000,employment_access_sqmi,80405,2015
51013101100,employment_access_sqmi,73088,2015
51013101200,employment_access_sqmi,80926,2015
51013101300,employment_access_sqmi,104415,2015
51013101401,employment_access_sqmi,114088,2015
51013101402,employment_access_sqmi,124701,2015
51013101403,employment_access_sqmi,125861,2015
51013101404,employment_access_sqmi,133663,2015
51013101500,employment_access_sqmi,160071,2015
51013101601,employment_access_sqmi,199029,2015
51013101602,employment_access_sqmi,180946,2015
51013101603,employment_access_sqmi,211119,2015
51013101701,employment_access_sqmi,179327,2015
51013101702,employment_access_sqmi,215730,2015
51013101703,employment_access_sqmi,199622,2015
51013101801,employment_access_sqmi,156817,2015
51013101802,employment_access_sqmi,167038,2015
51013101803,employment_access_sqmi,151776,2015
51013101900,employment_access_sqmi,141920,2015
51013102001,employment_access_sqmi,119078,2015
51013102002,employment_access_sqmi,130141,2015
51013102003,employment_access_sqmi,118776,2015
51013102100,employment_access_sqmi,87364,2015
51013102200,employment_access_sqmi,86266,2015
51013102301,employment_access_sqmi,107266,2015
51013102302,employment_access_sqmi,96908,2015
51013102400,employment_access_sqmi,125735,2015
51013102500,employment_access_sqmi,121688,2015
51013102600,employment_access_sqmi,95311,2015
51013102701,employment_access_sqmi,92286,2015
51013102702,employment_access_sqmi,90528,2015
51013102801,employment_access_sqmi,86999,2015
51013102802,employment_access_sqmi,88213,2015
51013102901,employment_access_sqmi,84515,2015
51013102902,employment_access_sqmi,83482,2015
51013103000,employment_access_sqmi,79104,2015
51013103100,employment_access_sqmi,94751,2015
51013103200,employment_access_sqmi,111319,2015
51013103300,employment_access_sqmi,121635,2015
51013103401,employment_access_sqmi,150729,2015
51013103402,employment_access_sqmi,120756,2015
51013103501,employment_access_sqmi,131889,2015
51013103502,employment_access_sqmi,132184,2015
51013103503,employment_access_sqmi,133029,2015
51013103601,employment_access_sqmi,117550,2015
51013103602,employment_access_sqmi,118848,2015
51013103700,employment_access_sqmi,113597,2015
51013103800,employment_access_sqmi,99957,2015
51013980100,employment_access_sqmi,194007,2015
51013980200,employment_access_sqmi,122378,2015
51015070100,employment_access_sqmi,1518,2015
51015070200,employment_access_sqmi,1936,2015
51015070300,employment_access_sqmi,2668,2015
51015070400,employment_access_sqmi,2259,2015
51015070500,employment_access_sqmi,2669,2015
51015070600,employment_access_sqmi,4806,2015
51015070700,employment_access_sqmi,4444,2015
51015070800,employment_access_sqmi,2089,2015
51015070900,employment_access_sqmi,3669,2015
51015071000,employment_access_sqmi,1843,2015
51015071101,employment_access_sqmi,4125,2015
51015071102,employment_access_sqmi,3498,2015
51015071200,employment_access_sqmi,3369,2015
51017920100,employment_access_sqmi,1399,2015
51019030101,employment_access_sqmi,3611,2015
51019030103,employment_access_sqmi,7645,2015
51019030104,employment_access_sqmi,5500,2015
51019030201,employment_access_sqmi,2779,2015
51019030202,employment_access_sqmi,2000,2015
51019030300,employment_access_sqmi,1852,2015
51019030401,employment_access_sqmi,2272,2015
51019030402,employment_access_sqmi,2417,2015
51019030501,employment_access_sqmi,1831,2015
51019030503,employment_access_sqmi,1718,2015
51019030504,employment_access_sqmi,2055,2015
51019030601,employment_access_sqmi,2128,2015
51019030602,employment_access_sqmi,3549,2015
51019030603,employment_access_sqmi,2991,2015
51019030604,employment_access_sqmi,2244,2015
51019030605,employment_access_sqmi,2111,2015
51019050100,employment_access_sqmi,6616,2015
51021040100,employment_access_sqmi,1287,2015
51021040200,employment_access_sqmi,1220,2015
51023040100,employment_access_sqmi,1528,2015
51023040200,employment_access_sqmi,1736,2015
51023040301,employment_access_sqmi,2420,2015
51023040302,employment_access_sqmi,3596,2015
51023040401,employment_access_sqmi,2414,2015
51023040402,employment_access_sqmi,7329,2015
51023040501,employment_access_sqmi,4346,2015
51023040502,employment_access_sqmi,3675,2015
51025930100,employment_access_sqmi,1468,2015
51025930201,employment_access_sqmi,1844,2015
51025930202,employment_access_sqmi,,2015
51025930203,employment_access_sqmi,1453,2015
51025930300,employment_access_sqmi,1341,2015
51027010100,employment_access_sqmi,1269,2015
51027010200,employment_access_sqmi,1058,2015
51027010300,employment_access_sqmi,1198,2015
51027010400,employment_access_sqmi,1952,2015
51027010500,employment_access_sqmi,1060,2015
51027010600,employment_access_sqmi,1311,2015
51027010700,employment_access_sqmi,1247,2015
51029930101,employment_access_sqmi,1688,2015
51029930102,employment_access_sqmi,1854,2015
51029930201,employment_access_sqmi,1723,2015
51029930202,employment_access_sqmi,1578,2015
51031020101,employment_access_sqmi,3103,2015
51031020102,employment_access_sqmi,1827,2015
51031020200,employment_access_sqmi,4829,2015
51031020300,employment_access_sqmi,8275,2015
51031020401,employment_access_sqmi,7455,2015
51031020402,employment_access_sqmi,5775,2015
51031020403,employment_access_sqmi,3126,2015
51031020500,employment_access_sqmi,2575,2015
51031020600,employment_access_sqmi,2018,2015
51031020700,employment_access_sqmi,4336,2015
51031020800,employment_access_sqmi,1660,2015
51031020900,employment_access_sqmi,1765,2015
51033030100,employment_access_sqmi,3295,2015
51033030201,employment_access_sqmi,2884,2015
51033030202,employment_access_sqmi,2550,2015
51033030300,employment_access_sqmi,3089,2015
51033030400,employment_access_sqmi,2884,2015
51033030500,employment_access_sqmi,3158,2015
51033030600,employment_access_sqmi,3348,2015
51035080100,employment_access_sqmi,1615,2015
51035080200,employment_access_sqmi,2195,2015
51035080300,employment_access_sqmi,1522,2015
51035080400,employment_access_sqmi,1706,2015
51035080500,employment_access_sqmi,1485,2015
51035080601,employment_access_sqmi,1498,2015
51035080602,employment_access_sqmi,1496,2015
51036600100,employment_access_sqmi,3129,2015
51036600200,employment_access_sqmi,2642,2015
51036600300,employment_access_sqmi,2373,2015
51037930100,employment_access_sqmi,1459,2015
51037930200,employment_access_sqmi,1402,2015
51037930300,employment_access_sqmi,1416,2015
51041100106,employment_access_sqmi,25301,2015
51041100107,employment_access_sqmi,29148,2015
51041100205,employment_access_sqmi,14304,2015
51041100206,employment_access_sqmi,13004,2015
51041100208,employment_access_sqmi,13073,2015
51041100209,employment_access_sqmi,18200,2015
51041100210,employment_access_sqmi,23393,2015
51041100300,employment_access_sqmi,15966,2015
51041100403,employment_access_sqmi,11835,2015
51041100404,employment_access_sqmi,11044,2015
51041100405,employment_access_sqmi,14399,2015
51041100406,employment_access_sqmi,11250,2015
51041100407,employment_access_sqmi,9895,2015
51041100409,employment_access_sqmi,10849,2015
51041100410,employment_access_sqmi,10256,2015
51041100505,employment_access_sqmi,10724,2015
51041100506,employment_access_sqmi,10114,2015
51041100507,employment_access_sqmi,7269,2015
51041100508,employment_access_sqmi,9390,2015
51041100509,employment_access_sqmi,12302,2015
51041100510,employment_access_sqmi,7175,2015
51041100600,employment_access_sqmi,11619,2015
51041100701,employment_access_sqmi,7889,2015
51041100702,employment_access_sqmi,5070,2015
51041100703,employment_access_sqmi,3835,2015
51041100804,employment_access_sqmi,14773,2015
51041100805,employment_access_sqmi,11801,2015
51041100806,employment_access_sqmi,12893,2015
51041100807,employment_access_sqmi,11484,2015
51041100812,employment_access_sqmi,10784,2015
51041100814,employment_access_sqmi,12575,2015
51041100815,employment_access_sqmi,10457,2015
51041100816,employment_access_sqmi,11839,2015
51041100817,employment_access_sqmi,22428,2015
51041100818,employment_access_sqmi,10250,2015
51041100819,employment_access_sqmi,11609,2015
51041100820,employment_access_sqmi,11564,2015
51041100821,employment_access_sqmi,5509,2015
51041100822,employment_access_sqmi,8318,2015
51041100823,employment_access_sqmi,16475,2015
51041100902,employment_access_sqmi,20531,2015
51041100907,employment_access_sqmi,25220,2015
51041100910,employment_access_sqmi,16041,2015
51041100912,employment_access_sqmi,12170,2015
51041100915,employment_access_sqmi,17668,2015
51041100919,employment_access_sqmi,13642,2015
51041100920,employment_access_sqmi,28242,2015
51041100921,employment_access_sqmi,24701,2015
51041100922,employment_access_sqmi,26084,2015
51041100923,employment_access_sqmi,20712,2015
51041100924,employment_access_sqmi,9325,2015
51041100926,employment_access_sqmi,13134,2015
51041100927,employment_access_sqmi,8662,2015
51041100928,employment_access_sqmi,10356,2015
51041100929,employment_access_sqmi,12639,2015
51041100930,employment_access_sqmi,14665,2015
51041100931,employment_access_sqmi,18462,2015
51041100932,employment_access_sqmi,13091,2015
51041100933,employment_access_sqmi,11612,2015
51041100934,employment_access_sqmi,11124,2015
51041100935,employment_access_sqmi,9915,2015
51041100936,employment_access_sqmi,13412,2015
51041101003,employment_access_sqmi,3458,2015
51041101004,employment_access_sqmi,2906,2015
51041101007,employment_access_sqmi,8891,2015
51041101008,employment_access_sqmi,6427,2015
51041101009,employment_access_sqmi,4832,2015
51041101010,employment_access_sqmi,5623,2015
51041101011,employment_access_sqmi,7901,2015
51041101012,employment_access_sqmi,10864,2015
51041101013,employment_access_sqmi,7170,2015
51043010100,employment_access_sqmi,5001,2015
51043010200,employment_access_sqmi,3887,2015
51043010300,employment_access_sqmi,3753,2015
51045050100,employment_access_sqmi,1596,2015
51047930101,employment_access_sqmi,4072,2015
51047930102,employment_access_sqmi,3266,2015
51047930201,employment_access_sqmi,5022,2015
51047930202,employment_access_sqmi,2757,2015
51047930300,employment_access_sqmi,8564,2015
51047930400,employment_access_sqmi,3704,2015
51047930501,employment_access_sqmi,2778,2015
51047930502,employment_access_sqmi,7123,2015
51049930100,employment_access_sqmi,1806,2015
51049930200,employment_access_sqmi,2100,2015
51051040100,employment_access_sqmi,1143,2015
51051040200,employment_access_sqmi,1647,2015
51051040300,employment_access_sqmi,1256,2015
51051040400,employment_access_sqmi,1086,2015
51053840100,employment_access_sqmi,1702,2015
51053840200,employment_access_sqmi,2947,2015
51053840300,employment_access_sqmi,4686,2015
51053840400,employment_access_sqmi,6028,2015
51053840500,employment_access_sqmi,3276,2015
51053840600,employment_access_sqmi,2165,2015
51053980100,employment_access_sqmi,,2015
51057950600,employment_access_sqmi,2407,2015
51057950700,employment_access_sqmi,3575,2015
51057950800,employment_access_sqmi,2289,2015
51059415100,employment_access_sqmi,46335,2015
51059415200,employment_access_sqmi,37970,2015
51059415300,employment_access_sqmi,36586,2015
51059415401,employment_access_sqmi,33540,2015
51059415402,employment_access_sqmi,30269,2015
51059415500,employment_access_sqmi,26529,2015
51059415600,employment_access_sqmi,26591,2015
51059415700,employment_access_sqmi,18306,2015
51059415800,employment_access_sqmi,21085,2015
51059415900,employment_access_sqmi,22064,2015
51059416000,employment_access_sqmi,23060,2015
51059416100,employment_access_sqmi,19189,2015
51059416200,employment_access_sqmi,18033,2015
51059416300,employment_access_sqmi,11622,2015
51059420100,employment_access_sqmi,68475,2015
51059420201,employment_access_sqmi,56545,2015
51059420202,employment_access_sqmi,57939,2015
51059420203,employment_access_sqmi,55344,2015
51059420300,employment_access_sqmi,55365,2015
51059420400,employment_access_sqmi,68227,2015
51059420501,employment_access_sqmi,57470,2015
51059420502,employment_access_sqmi,61723,2015
51059420503,employment_access_sqmi,58624,2015
51059420600,employment_access_sqmi,52581,2015
