"geoid","region_name","measure","value","year","measure_type","region_type"
"51175","Southampton County, Virginia","inadequate",24,2014,"count","county"
"51177","Spotsylvania County, Virginia","inadequate",173,2014,"count","county"
"51179","Stafford County, Virginia","inadequate",159,2014,"count","county"
"51181","Surry County, Virginia","inadequate",6,2014,"count","county"
"51183","Sussex County, Virginia","inadequate",16,2014,"count","county"
"51185","Tazewell County, Virginia","inadequate",18,2014,"count","county"
"51187","Warren County, Virginia","inadequate",68,2014,"count","county"
"51191","Washington County, Virginia","inadequate",3,2014,"count","county"
"51193","Westmoreland County, Virginia","inadequate",26,2014,"count","county"
"51195","Wise County, Virginia","inadequate",57,2014,"count","county"
"51197","Wythe County, Virginia","inadequate",18,2014,"count","county"
"51199","York County, Virginia","inadequate",23,2014,"count","county"
"51510","Alexandria city, Virginia","inadequate",321,2014,"count","county"
"51520","Bristol city, Virginia","inadequate",0,2014,"count","county"
"51530","Buena Vista city, Virginia","inadequate",2,2014,"count","county"
"51540","Charlottesville city, Virginia","inadequate",33,2014,"count","county"
"51550","Chesapeake city, Virginia","inadequate",231,2014,"count","county"
"51570","Colonial Heights city, Virginia","inadequate",20,2014,"count","county"
"51590","Danville city, Virginia","inadequate",85,2014,"count","county"
"51600","Fairfax city, Virginia","inadequate",63,2014,"count","county"
"51610","Falls Church city, Virginia","inadequate",22,2014,"count","county"
"51620","Franklin city, Virginia","inadequate",26,2014,"count","county"
"51630","Fredericksburg city, Virginia","inadequate",70,2014,"count","county"
"51640","Galax city, Virginia","inadequate",5,2014,"count","county"
"51650","Hampton city, Virginia","inadequate",77,2014,"count","county"
"51660","Harrisonburg city, Virginia","inadequate",113,2014,"count","county"
"51670","Hopewell city, Virginia","inadequate",42,2014,"count","county"
"51680","Lynchburg city, Virginia","inadequate",16,2014,"count","county"
"51683","Manassas city, Virginia","inadequate",87,2014,"count","county"
"51685","Manassas Park city, Virginia","inadequate",0,2014,"count","county"
"51690","Martinsville city, Virginia","inadequate",31,2014,"count","county"
"51700","Newport News city, Virginia","inadequate",112,2014,"count","county"
"51710","Norfolk city, Virginia","inadequate",389,2014,"count","county"
"51720","Norton city, Virginia","inadequate",2,2014,"count","county"
"51730","Petersburg city, Virginia","inadequate",87,2014,"count","county"
"51735","Poquoson city, Virginia","inadequate",2,2014,"count","county"
"51740","Portsmouth city, Virginia","inadequate",202,2014,"count","county"
"51750","Radford city, Virginia","inadequate",11,2014,"count","county"
"51760","Richmond city, Virginia","inadequate",178,2014,"count","county"
"51770","Roanoke city, Virginia","inadequate",30,2014,"count","county"
"51775","Salem city, Virginia","inadequate",12,2014,"count","county"
"51790","Staunton city, Virginia","inadequate",53,2014,"count","county"
"51800","Suffolk city, Virginia","inadequate",145,2014,"count","county"
"51810","Virginia Beach city, Virginia","inadequate",320,2014,"count","county"
"51820","Waynesboro city, Virginia","inadequate",34,2014,"count","county"
"51830","Williamsburg city, Virginia","inadequate",18,2014,"count","county"
"51840","Winchester city, Virginia","inadequate",69,2014,"count","county"
"51001","Accomack County, Virginia","intermediate",99,2014,"count","county"
"51003","Albemarle County, Virginia","intermediate",33,2014,"count","county"
"51005","Alleghany County, Virginia","intermediate",11,2014,"count","county"
"51007","Amelia County, Virginia","intermediate",6,2014,"count","county"
