"geoid","region_type","region_name","measure","value","year","measure_type"
"110010014012","block group","Block Group 2, Census Tract 14.01, District of Columbia","primcare_pop_cnt",1203,2021,"count"
"110010014021","block group","Block Group 1, Census Tract 14.02, District of Columbia","primcare_pop_cnt",1047,2021,"count"
"110010014022","block group","Block Group 2, Census Tract 14.02, District of Columbia","primcare_pop_cnt",1163,2021,"count"
"110010014023","block group","Block Group 3, Census Tract 14.02, District of Columbia","primcare_pop_cnt",1160,2021,"count"
"110010015001","block group","Block Group 1, Census Tract 15, District of Columbia","primcare_pop_cnt",1679,2021,"count"
"110010015002","block group","Block Group 2, Census Tract 15, District of Columbia","primcare_pop_cnt",1031,2021,"count"
"110010015003","block group","Block Group 3, Census Tract 15, District of Columbia","primcare_pop_cnt",672,2021,"count"
"110010015004","block group","Block Group 4, Census Tract 15, District of Columbia","primcare_pop_cnt",1581,2021,"count"
"110010015005","block group","Block Group 5, Census Tract 15, District of Columbia","primcare_pop_cnt",1131,2021,"count"
"110010016001","block group","Block Group 1, Census Tract 16, District of Columbia","primcare_pop_cnt",1329,2021,"count"
"110010016002","block group","Block Group 2, Census Tract 16, District of Columbia","primcare_pop_cnt",675,2021,"count"
"110010016003","block group","Block Group 3, Census Tract 16, District of Columbia","primcare_pop_cnt",896,2021,"count"
"110010016004","block group","Block Group 4, Census Tract 16, District of Columbia","primcare_pop_cnt",2059,2021,"count"
"110010017021","block group","Block Group 1, Census Tract 17.02, District of Columbia","primcare_pop_cnt",1513,2021,"count"
"110010017022","block group","Block Group 2, Census Tract 17.02, District of Columbia","primcare_pop_cnt",1969,2021,"count"
"110010018031","block group","Block Group 1, Census Tract 18.03, District of Columbia","primcare_pop_cnt",1288,2021,"count"
"110010018032","block group","Block Group 2, Census Tract 18.03, District of Columbia","primcare_pop_cnt",2943,2021,"count"
"110010018041","block group","Block Group 1, Census Tract 18.04, District of Columbia","primcare_pop_cnt",1366,2021,"count"
"110010018042","block group","Block Group 2, Census Tract 18.04, District of Columbia","primcare_pop_cnt",2037,2021,"count"
"110010018043","block group","Block Group 3, Census Tract 18.04, District of Columbia","primcare_pop_cnt",2491,2021,"count"
"110010019011","block group","Block Group 1, Census Tract 19.01, District of Columbia","primcare_pop_cnt",927,2021,"count"
"110010019012","block group","Block Group 2, Census Tract 19.01, District of Columbia","primcare_pop_cnt",956,2021,"count"
"110010019013","block group","Block Group 3, Census Tract 19.01, District of Columbia","primcare_pop_cnt",1553,2021,"count"
"110010019014","block group","Block Group 4, Census Tract 19.01, District of Columbia","primcare_pop_cnt",747,2021,"count"
"110010019021","block group","Block Group 1, Census Tract 19.02, District of Columbia","primcare_pop_cnt",1700,2021,"count"
"110010019022","block group","Block Group 2, Census Tract 19.02, District of Columbia","primcare_pop_cnt",844,2021,"count"
"110010020011","block group","Block Group 1, Census Tract 20.01, District of Columbia","primcare_pop_cnt",2442,2021,"count"
"110010020012","block group","Block Group 2, Census Tract 20.01, District of Columbia","primcare_pop_cnt",1048,2021,"count"
"110010020021","block group","Block Group 1, Census Tract 20.02, District of Columbia","primcare_pop_cnt",1318,2021,"count"
"110010020022","block group","Block Group 2, Census Tract 20.02, District of Columbia","primcare_pop_cnt",1711,2021,"count"
"110010020023","block group","Block Group 3, Census Tract 20.02, District of Columbia","primcare_pop_cnt",1752,2021,"count"
"110010021011","block group","Block Group 1, Census Tract 21.01, District of Columbia","primcare_pop_cnt",1362,2021,"count"
"110010021012","block group","Block Group 2, Census Tract 21.01, District of Columbia","primcare_pop_cnt",1008,2021,"count"
"110010021013","block group","Block Group 3, Census Tract 21.01, District of Columbia","primcare_pop_cnt",1548,2021,"count"
"110010021014","block group","Block Group 4, Census Tract 21.01, District of Columbia","primcare_pop_cnt",439,2021,"count"
"110010021015","block group","Block Group 5, Census Tract 21.01, District of Columbia","primcare_pop_cnt",1174,2021,"count"
"110010021021","block group","Block Group 1, Census Tract 21.02, District of Columbia","primcare_pop_cnt",1136,2021,"count"
"110010021022","block group","Block Group 2, Census Tract 21.02, District of Columbia","primcare_pop_cnt",845,2021,"count"
"110010021023","block group","Block Group 3, Census Tract 21.02, District of Columbia","primcare_pop_cnt",1341,2021,"count"
"110010021024","block group","Block Group 4, Census Tract 21.02, District of Columbia","primcare_pop_cnt",921,2021,"count"
"110010021025","block group","Block Group 5, Census Tract 21.02, District of Columbia","primcare_pop_cnt",603,2021,"count"
"110010021026","block group","Block Group 6, Census Tract 21.02, District of Columbia","primcare_pop_cnt",814,2021,"count"
"110010022011","block group","Block Group 1, Census Tract 22.01, District of Columbia","primcare_pop_cnt",1512,2021,"count"
"110010022012","block group","Block Group 2, Census Tract 22.01, District of Columbia","primcare_pop_cnt",1029,2021,"count"
"110010022013","block group","Block Group 3, Census Tract 22.01, District of Columbia","primcare_pop_cnt",723,2021,"count"
"110010022021","block group","Block Group 1, Census Tract 22.02, District of Columbia","primcare_pop_cnt",1754,2021,"count"
"110010022022","block group","Block Group 2, Census Tract 22.02, District of Columbia","primcare_pop_cnt",1006,2021,"count"
"110010022023","block group","Block Group 3, Census Tract 22.02, District of Columbia","primcare_pop_cnt",572,2021,"count"
"110010023011","block group","Block Group 1, Census Tract 23.01, District of Columbia","primcare_pop_cnt",1889,2021,"count"
"110010023012","block group","Block Group 2, Census Tract 23.01, District of Columbia","primcare_pop_cnt",1719,2021,"count"
"110010023021","block group","Block Group 1, Census Tract 23.02, District of Columbia","primcare_pop_cnt",1612,2021,"count"
"110010024001","block group","Block Group 1, Census Tract 24, District of Columbia","primcare_pop_cnt",1041,2021,"count"
"110010024002","block group","Block Group 2, Census Tract 24, District of Columbia","primcare_pop_cnt",1094,2021,"count"
"110010024003","block group","Block Group 3, Census Tract 24, District of Columbia","primcare_pop_cnt",975,2021,"count"
"110010024004","block group","Block Group 4, Census Tract 24, District of Columbia","primcare_pop_cnt",994,2021,"count"
"110010025011","block group","Block Group 1, Census Tract 25.01, District of Columbia","primcare_pop_cnt",1700,2021,"count"
"110010025012","block group","Block Group 2, Census Tract 25.01, District of Columbia","primcare_pop_cnt",1560,2021,"count"
"110010025021","block group","Block Group 1, Census Tract 25.02, District of Columbia","primcare_pop_cnt",1371,2021,"count"
"110010025022","block group","Block Group 2, Census Tract 25.02, District of Columbia","primcare_pop_cnt",2352,2021,"count"
"110010025023","block group","Block Group 3, Census Tract 25.02, District of Columbia","primcare_pop_cnt",1252,2021,"count"
"110010025024","block group","Block Group 4, Census Tract 25.02, District of Columbia","primcare_pop_cnt",1759,2021,"count"
"110010026001","block group","Block Group 1, Census Tract 26, District of Columbia","primcare_pop_cnt",1318,2021,"count"
"110010026002","block group","Block Group 2, Census Tract 26, District of Columbia","primcare_pop_cnt",1334,2021,"count"
"110010027011","block group","Block Group 1, Census Tract 27.01, District of Columbia","primcare_pop_cnt",493,2021,"count"
"110010027012","block group","Block Group 2, Census Tract 27.01, District of Columbia","primcare_pop_cnt",1946,2021,"count"
"110010027013","block group","Block Group 3, Census Tract 27.01, District of Columbia","primcare_pop_cnt",1034,2021,"count"
"110010027014","block group","Block Group 4, Census Tract 27.01, District of Columbia","primcare_pop_cnt",2329,2021,"count"
"110010027021","block group","Block Group 1, Census Tract 27.02, District of Columbia","primcare_pop_cnt",1524,2021,"count"
"110010027022","block group","Block Group 2, Census Tract 27.02, District of Columbia","primcare_pop_cnt",3186,2021,"count"
"110010027023","block group","Block Group 3, Census Tract 27.02, District of Columbia","primcare_pop_cnt",1339,2021,"count"
"110010028011","block group","Block Group 1, Census Tract 28.01, District of Columbia","primcare_pop_cnt",1985,2021,"count"
"110010028012","block group","Block Group 2, Census Tract 28.01, District of Columbia","primcare_pop_cnt",2063,2021,"count"
"110010028021","block group","Block Group 1, Census Tract 28.02, District of Columbia","primcare_pop_cnt",3416,2021,"count"
"110010028022","block group","Block Group 2, Census Tract 28.02, District of Columbia","primcare_pop_cnt",1640,2021,"count"
"110010029001","block group","Block Group 1, Census Tract 29, District of Columbia","primcare_pop_cnt",1939,2021,"count"
"110010029002","block group","Block Group 2, Census Tract 29, District of Columbia","primcare_pop_cnt",2477,2021,"count"
"110010030001","block group","Block Group 1, Census Tract 30, District of Columbia","primcare_pop_cnt",1815,2021,"count"
"110010030002","block group","Block Group 2, Census Tract 30, District of Columbia","primcare_pop_cnt",1917,2021,"count"
"110010031001","block group","Block Group 1, Census Tract 31, District of Columbia","primcare_pop_cnt",3605,2021,"count"
"110010032001","block group","Block Group 1, Census Tract 32, District of Columbia","primcare_pop_cnt",1743,2021,"count"
"110010032002","block group","Block Group 2, Census Tract 32, District of Columbia","primcare_pop_cnt",755,2021,"count"
