geoid,measure,measure_type,region_name,region_type,value,year,moe
51031020900,gini_index,index,"Census Tract 209, Campbell County, Virginia",tract,0.4219,2015,0.0323
51031020600,gini_index,index,"Census Tract 206, Campbell County, Virginia",tract,0.4722,2015,0.0823
51031020200,gini_index,index,"Census Tract 202, Campbell County, Virginia",tract,0.3994,2015,0.0417
51087200105,gini_index,index,"Census Tract 2001.05, Henrico County, Virginia",tract,0.4455,2015,0.0391
51087200112,gini_index,index,"Census Tract 2001.12, Henrico County, Virginia",tract,0.4366,2015,0.0466
51087200503,gini_index,index,"Census Tract 2005.03, Henrico County, Virginia",tract,0.3799,2015,0.0334
51087200600,gini_index,index,"Census Tract 2006, Henrico County, Virginia",tract,0.3691,2015,0.0428
51035080601,gini_index,index,"Census Tract 806.01, Carroll County, Virginia",tract,0.4269,2015,0.0373
51035080602,gini_index,index,"Census Tract 806.02, Carroll County, Virginia",tract,0.433,2015,0.0398
51179010403,gini_index,index,"Census Tract 104.03, Stafford County, Virginia",tract,0.3426,2015,0.034
51179010204,gini_index,index,"Census Tract 102.04, Stafford County, Virginia",tract,0.4098,2015,0.0482
51179010205,gini_index,index,"Census Tract 102.05, Stafford County, Virginia",tract,0.2807,2015,0.0292
51179010502,gini_index,index,"Census Tract 105.02, Stafford County, Virginia",tract,0.3262,2015,0.0293
51179010103,gini_index,index,"Census Tract 101.03, Stafford County, Virginia",tract,0.3649,2015,0.0354
51179010207,gini_index,index,"Census Tract 102.07, Stafford County, Virginia",tract,0.3901,2015,0.0397
51680000600,gini_index,index,"Census Tract 6, Lynchburg city, Virginia",tract,0.5054,2015,0.0544
51680000203,gini_index,index,"Census Tract 2.03, Lynchburg city, Virginia",tract,0.4766,2015,0.1806
51680000400,gini_index,index,"Census Tract 4, Lynchburg city, Virginia",tract,0.4585,2015,0.0516
51680001400,gini_index,index,"Census Tract 14, Lynchburg city, Virginia",tract,0.5205,2015,0.1442
51680000201,gini_index,index,"Census Tract 2.01, Lynchburg city, Virginia",tract,0.4284,2015,0.0459
51680001100,gini_index,index,"Census Tract 11, Lynchburg city, Virginia",tract,0.4502,2015,0.0532
51680000900,gini_index,index,"Census Tract 9, Lynchburg city, Virginia",tract,0.4118,2015,0.0409
51680000100,gini_index,index,"Census Tract 1, Lynchburg city, Virginia",tract,0.516,2015,0.047
51680000802,gini_index,index,"Census Tract 8.02, Lynchburg city, Virginia",tract,0.4006,2015,0.0554
51680001700,gini_index,index,"Census Tract 17, Lynchburg city, Virginia",tract,0.4006,2015,0.0787
51680001800,gini_index,index,"Census Tract 18, Lynchburg city, Virginia",tract,0.4106,2015,0.0577
51680000500,gini_index,index,"Census Tract 5, Lynchburg city, Virginia",tract,0.5122,2015,0.0616
51680000801,gini_index,index,"Census Tract 8.01, Lynchburg city, Virginia",tract,0.3907,2015,0.0435
51680001000,gini_index,index,"Census Tract 10, Lynchburg city, Virginia",tract,0.398,2015,0.0312
51680000300,gini_index,index,"Census Tract 3, Lynchburg city, Virginia",tract,0.4786,2015,0.0385
51680000202,gini_index,index,"Census Tract 2.02, Lynchburg city, Virginia",tract,0.4924,2015,0.0624
51680001600,gini_index,index,"Census Tract 16, Lynchburg city, Virginia",tract,0.4609,2015,0.0467
51680000700,gini_index,index,"Census Tract 7, Lynchburg city, Virginia",tract,0.4717,2015,0.0522
51199050206,gini_index,index,"Census Tract 502.06, York County, Virginia",tract,0.3727,2015,0.0343
51199050304,gini_index,index,"Census Tract 503.04, York County, Virginia",tract,0.3715,2015,0.0457
51199050205,gini_index,index,"Census Tract 502.05, York County, Virginia",tract,0.3554,2015,0.0421
51199050203,gini_index,index,"Census Tract 502.03, York County, Virginia",tract,0.2725,2015,0.0258
51199050303,gini_index,index,"Census Tract 503.03, York County, Virginia",tract,0.3377,2015,0.0265
51199050204,gini_index,index,"Census Tract 502.04, York County, Virginia",tract,0.3061,2015,0.036
51199050401,gini_index,index,"Census Tract 504.01, York County, Virginia",tract,0.3858,2015,0.0433
51710001200,gini_index,index,"Census Tract 12, Norfolk city, Virginia",tract,0.5403,2015,0.0609
51135980100,gini_index,index,"Census Tract 9801, Nottoway County, Virginia",tract,0.0634,2015,0.0522
51137110200,gini_index,index,"Census Tract 1102, Orange County, Virginia",tract,0.4092,2015,0.0471
51137110102,gini_index,index,"Census Tract 1101.02, Orange County, Virginia",tract,0.4244,2015,0.0443
51137110103,gini_index,index,"Census Tract 1101.03, Orange County, Virginia",tract,0.3646,2015,0.0435
51137110104,gini_index,index,"Census Tract 1101.04, Orange County, Virginia",tract,0.3276,2015,0.0385
51137110300,gini_index,index,"Census Tract 1103, Orange County, Virginia",tract,0.4531,2015,0.0368
51141030301,gini_index,index,"Census Tract 303.01, Patrick County, Virginia",tract,0.4137,2015,0.0831
51141030302,gini_index,index,"Census Tract 303.02, Patrick County, Virginia",tract,0.3977,2015,0.0435
51143011002,gini_index,index,"Census Tract 110.02, Pittsylvania County, Virginia",tract,0.3911,2015,0.0283
51143010801,gini_index,index,"Census Tract 108.01, Pittsylvania County, Virginia",tract,0.3854,2015,0.0391
51143010802,gini_index,index,"Census Tract 108.02, Pittsylvania County, Virginia",tract,0.3636,2015,0.0369
51143011001,gini_index,index,"Census Tract 110.01, Pittsylvania County, Virginia",tract,0.4174,2015,0.0313
51147930100,gini_index,index,"Census Tract 9301, Prince Edward County, Virginia",tract,0.4729,2015,0.0471
51147930201,gini_index,index,"Census Tract 9302.01, Prince Edward County, Virginia",tract,0.4765,2015,0.0809
51147930202,gini_index,index,"Census Tract 9302.02, Prince Edward County, Virginia",tract,0.3572,2015,0.0398
51147930203,gini_index,index,"Census Tract 9302.03, Prince Edward County, Virginia",tract,0.2795,2015,0.183
51147930300,gini_index,index,"Census Tract 9303, Prince Edward County, Virginia",tract,0.4291,2015,0.0558
51149850301,gini_index,index,"Census Tract 8503.01, Prince George County, Virginia",tract,0.3608,2015,0.0376
51149850302,gini_index,index,"Census Tract 8503.02, Prince George County, Virginia",tract,0.3287,2015,0.0286
51149850501,gini_index,index,"Census Tract 8505.01, Prince George County, Virginia",tract,0.3965,2015,0.0316
51149850502,gini_index,index,"Census Tract 8505.02, Prince George County, Virginia",tract,0.3352,2015,0.029
51153900201,gini_index,index,"Census Tract 9002.01, Prince William County, Virginia",tract,0.4051,2015,0.0594
51153900202,gini_index,index,"Census Tract 9002.02, Prince William County, Virginia",tract,0.3674,2015,0.0327
51153900203,gini_index,index,"Census Tract 9002.03, Prince William County, Virginia",tract,0.3131,2015,0.0326
51153900410,gini_index,index,"Census Tract 9004.10, Prince William County, Virginia",tract,0.4048,2015,0.0379
51153900407,gini_index,index,"Census Tract 9004.07, Prince William County, Virginia",tract,0.3435,2015,0.0344
51153900408,gini_index,index,"Census Tract 9004.08, Prince William County, Virginia",tract,0.3555,2015,0.0432
51710001500,gini_index,index,"Census Tract 15, Norfolk city, Virginia",tract,0.3944,2015,0.0523
51710000700,gini_index,index,"Census Tract 7, Norfolk city, Virginia",tract,0.3219,2015,0.043
51710001100,gini_index,index,"Census Tract 11, Norfolk city, Virginia",tract,0.4979,2015,0.1352
51710001400,gini_index,index,"Census Tract 14, Norfolk city, Virginia",tract,0.4992,2015,0.0353
51710003100,gini_index,index,"Census Tract 31, Norfolk city, Virginia",tract,0.4551,2015,0.0775
51710002100,gini_index,index,"Census Tract 21, Norfolk city, Virginia",tract,0.5214,2015,0.0384
51710002300,gini_index,index,"Census Tract 23, Norfolk city, Virginia",tract,0.4852,2015,0.0656
51710005000,gini_index,index,"Census Tract 50, Norfolk city, Virginia",tract,0.4371,2015,0.0528
51710005601,gini_index,index,"Census Tract 56.01, Norfolk city, Virginia",tract,0.3432,2015,0.0369
51710006603,gini_index,index,"Census Tract 66.03, Norfolk city, Virginia",tract,0.3389,2015,0.034
51710007002,gini_index,index,"Census Tract 70.02, Norfolk city, Virginia",tract,0.5115,2015,0.0851
51710000500,gini_index,index,"Census Tract 5, Norfolk city, Virginia",tract,0.4082,2015,0.045
51710001300,gini_index,index,"Census Tract 13, Norfolk city, Virginia",tract,0.4119,2015,0.0624
51710001700,gini_index,index,"Census Tract 17, Norfolk city, Virginia",tract,0.5706,2015,0.0959
51710006501,gini_index,index,"Census Tract 65.01, Norfolk city, Virginia",tract,0.465,2015,0.0528
51710003800,gini_index,index,"Census Tract 38, Norfolk city, Virginia",tract,0.4439,2015,0.047
51177020310,gini_index,index,"Census Tract 203.10, Spotsylvania County, Virginia",tract,0.3484,2015,0.0485
51177020311,gini_index,index,"Census Tract 203.11, Spotsylvania County, Virginia",tract,0.3933,2015,0.0339
51177020403,gini_index,index,"Census Tract 204.03, Spotsylvania County, Virginia",tract,0.3555,2015,0.0444
51019050100,gini_index,index,"Census Tract 501, Bedford County, Virginia",tract,0.452,2015,0.053
51810046009,gini_index,index,"Census Tract 460.09, Virginia Beach city, Virginia",tract,0.3167,2015,0.0245
51810046204,gini_index,index,"Census Tract 462.04, Virginia Beach city, Virginia",tract,0.3631,2015,0.0503
51810046206,gini_index,index,"Census Tract 462.06, Virginia Beach city, Virginia",tract,0.3264,2015,0.0343
51810046212,gini_index,index,"Census Tract 462.12, Virginia Beach city, Virginia",tract,0.3853,2015,0.0707
51810046213,gini_index,index,"Census Tract 462.13, Virginia Beach city, Virginia",tract,0.3298,2015,0.0359
51810046214,gini_index,index,"Census Tract 462.14, Virginia Beach city, Virginia",tract,0.3269,2015,0.0336
51810045000,gini_index,index,"Census Tract 450, Virginia Beach city, Virginia",tract,0.061,2015,0.0292
51810040801,gini_index,index,"Census Tract 408.01, Virginia Beach city, Virginia",tract,0.3423,2015,0.0461
51810042202,gini_index,index,"Census Tract 422.02, Virginia Beach city, Virginia",tract,0.4058,2015,0.0286
