geoid,year,measure,value,moe
11001,2019,avg_down_using_devices,142.36,
11001,2020,avg_down_using_devices,160.03,
11001,2021,avg_down_using_devices,216.75,
11001000100,2019,avg_down_using_devices,124.24,
110010001001,2019,avg_down_using_devices,126.46,
110010001002,2019,avg_down_using_devices,144.59,
110010001003,2019,avg_down_using_devices,145.8,
110010001004,2019,avg_down_using_devices,118.81,
11001000101,2020,avg_down_using_devices,159.69,
11001000101,2021,avg_down_using_devices,219.77,
110010001011,2020,avg_down_using_devices,159.69,
110010001011,2021,avg_down_using_devices,219.77,
11001000102,2020,avg_down_using_devices,177.69,
11001000102,2021,avg_down_using_devices,211.56,
110010001021,2020,avg_down_using_devices,172.5,
110010001021,2021,avg_down_using_devices,227.7,
110010001022,2020,avg_down_using_devices,156.98,
110010001022,2021,avg_down_using_devices,212.11,
110010001023,2020,avg_down_using_devices,184.99,
110010001023,2021,avg_down_using_devices,195.97,
11001000201,2019,avg_down_using_devices,182.7,
11001000201,2020,avg_down_using_devices,133.47,
11001000201,2021,avg_down_using_devices,227.64,
110010002011,2019,avg_down_using_devices,182.7,
110010002011,2020,avg_down_using_devices,121.57,
110010002011,2021,avg_down_using_devices,216.95,
110010002012,2020,avg_down_using_devices,141.58,
110010002012,2021,avg_down_using_devices,239.39,
11001000202,2019,avg_down_using_devices,141.71,
11001000202,2020,avg_down_using_devices,174.7,
11001000202,2021,avg_down_using_devices,254.62,
110010002021,2019,avg_down_using_devices,146.63,
110010002021,2020,avg_down_using_devices,182.62,
110010002021,2021,avg_down_using_devices,257.05,
110010002022,2019,avg_down_using_devices,148.32,
110010002022,2020,avg_down_using_devices,164.4,
110010002022,2021,avg_down_using_devices,223.96,
110010002023,2019,avg_down_using_devices,139.39,
110010002023,2020,avg_down_using_devices,148.44,
110010002023,2021,avg_down_using_devices,201.15,
110010002024,2019,avg_down_using_devices,141.88,
110010002024,2020,avg_down_using_devices,170.68,
110010002024,2021,avg_down_using_devices,251.25,
11001000300,2019,avg_down_using_devices,171.29,
11001000300,2020,avg_down_using_devices,179.8,
11001000300,2021,avg_down_using_devices,215.39,
110010003001,2019,avg_down_using_devices,153.36,
110010003001,2020,avg_down_using_devices,196.9,
110010003001,2021,avg_down_using_devices,203.22,
110010003002,2019,avg_down_using_devices,192.85,
110010003002,2020,avg_down_using_devices,193.77,
110010003002,2021,avg_down_using_devices,242.41,
110010003003,2019,avg_down_using_devices,178.15,
110010003003,2020,avg_down_using_devices,173.72,
110010003003,2021,avg_down_using_devices,219.58,
110010003004,2019,avg_down_using_devices,161.94,
110010003004,2020,avg_down_using_devices,194.37,
110010003004,2021,avg_down_using_devices,219.56,
11001000400,2019,avg_down_using_devices,128.73,
11001000400,2020,avg_down_using_devices,165.16,
11001000400,2021,avg_down_using_devices,210.5,
110010004001,2019,avg_down_using_devices,149.06,
110010004001,2020,avg_down_using_devices,163.12,
110010004001,2021,avg_down_using_devices,207.25,
110010004002,2019,avg_down_using_devices,128.06,
110010004002,2020,avg_down_using_devices,162.94,
110010004002,2021,avg_down_using_devices,203.21,
11001000501,2019,avg_down_using_devices,140.13,
11001000501,2020,avg_down_using_devices,134.96,
11001000501,2021,avg_down_using_devices,245.24,
110010005011,2019,avg_down_using_devices,163.24,
110010005011,2020,avg_down_using_devices,128.03,
110010005011,2021,avg_down_using_devices,267.76,
110010005012,2019,avg_down_using_devices,123.58,
110010005012,2020,avg_down_using_devices,179.67,
110010005012,2021,avg_down_using_devices,307.5,
110010005013,2020,avg_down_using_devices,154.51,
110010005013,2021,avg_down_using_devices,223.59,
11001000502,2019,avg_down_using_devices,141.81,
11001000502,2020,avg_down_using_devices,160.93,
11001000502,2021,avg_down_using_devices,223.06,
110010005021,2019,avg_down_using_devices,137.39,
110010005021,2020,avg_down_using_devices,161.15,
110010005021,2021,avg_down_using_devices,226.5,
110010005022,2019,avg_down_using_devices,155.8,
110010005022,2020,avg_down_using_devices,182.15,
110010005022,2021,avg_down_using_devices,200.13,
11001000600,2019,avg_down_using_devices,140.25,
11001000600,2020,avg_down_using_devices,163.2,
11001000600,2021,avg_down_using_devices,209.7,
110010006001,2019,avg_down_using_devices,131.96,
110010006001,2020,avg_down_using_devices,148.28,
110010006001,2021,avg_down_using_devices,215.49,
110010006002,2019,avg_down_using_devices,152.58,
110010006002,2020,avg_down_using_devices,157.67,
110010006002,2021,avg_down_using_devices,207.83,
110010006003,2019,avg_down_using_devices,152.27,
110010006003,2020,avg_down_using_devices,176.08,
110010006003,2021,avg_down_using_devices,214.54,
110010006004,2019,avg_down_using_devices,130.13,
110010006004,2020,avg_down_using_devices,157.09,
110010006004,2021,avg_down_using_devices,207.1,
11001000701,2019,avg_down_using_devices,147.99,
110010007011,2019,avg_down_using_devices,142.19,
110010007012,2019,avg_down_using_devices,150.55,
110010007013,2019,avg_down_using_devices,158.63,
110010007014,2019,avg_down_using_devices,147.14,
11001000702,2019,avg_down_using_devices,159.52,
11001000702,2020,avg_down_using_devices,178.96,
11001000702,2021,avg_down_using_devices,196.89,
110010007021,2019,avg_down_using_devices,176.24,
110010007021,2020,avg_down_using_devices,177.62,
110010007021,2021,avg_down_using_devices,193.89,
110010007022,2019,avg_down_using_devices,141.1,
110010007022,2020,avg_down_using_devices,173.92,
110010007022,2021,avg_down_using_devices,202.07,
110010007023,2019,avg_down_using_devices,156.11,
110010007023,2020,avg_down_using_devices,166.2,
110010007023,2021,avg_down_using_devices,201.24,
11001000703,2020,avg_down_using_devices,127.12,
11001000703,2021,avg_down_using_devices,187.31,
110010007031,2020,avg_down_using_devices,130.92,
110010007031,2021,avg_down_using_devices,193.3,
110010007032,2020,avg_down_using_devices,127.12,
110010007032,2021,avg_down_using_devices,187.31,
11001000704,2020,avg_down_using_devices,151.16,
11001000704,2021,avg_down_using_devices,223.63,
110010007041,2020,avg_down_using_devices,153.85,
110010007041,2021,avg_down_using_devices,241.99,
110010007042,2020,avg_down_using_devices,151.16,
110010007042,2021,avg_down_using_devices,223.63,
11001000801,2019,avg_down_using_devices,166.82,
110010008011,2019,avg_down_using_devices,134.93,
110010008012,2019,avg_down_using_devices,172.58,
110010008013,2019,avg_down_using_devices,163.4,
110010008014,2019,avg_down_using_devices,169.81,
11001000802,2019,avg_down_using_devices,167.9,
11001000802,2020,avg_down_using_devices,155.45,
11001000802,2021,avg_down_using_devices,206.3,
110010008021,2019,avg_down_using_devices,148.53,
110010008021,2020,avg_down_using_devices,172.46,
110010008021,2021,avg_down_using_devices,200.16,
110010008022,2019,avg_down_using_devices,196.02,
110010008022,2020,avg_down_using_devices,138.75,
110010008022,2021,avg_down_using_devices,224.96,
11001000803,2020,avg_down_using_devices,145.75,
11001000803,2021,avg_down_using_devices,199.88,
110010008031,2020,avg_down_using_devices,173.28,
110010008031,2021,avg_down_using_devices,195.84,
110010008032,2020,avg_down_using_devices,145.75,
110010008032,2021,avg_down_using_devices,199.88,
110010008033,2020,avg_down_using_devices,124.82,
