"geoid","region_type","region_name","measure","value","year","measure_type"
"110010013021","block group","Block Group 1, Census Tract 13.02, District of Columbia","subs_pop_cnt",2488,2021,"count"
"110010013022","block group","Block Group 2, Census Tract 13.02, District of Columbia","subs_pop_cnt",3994,2021,"count"
"110010013023","block group","Block Group 3, Census Tract 13.02, District of Columbia","subs_pop_cnt",684,2021,"count"
"110010014011","block group","Block Group 1, Census Tract 14.01, District of Columbia","subs_pop_cnt",2456,2021,"count"
"110010014012","block group","Block Group 2, Census Tract 14.01, District of Columbia","subs_pop_cnt",1203,2021,"count"
"110010014021","block group","Block Group 1, Census Tract 14.02, District of Columbia","subs_pop_cnt",1047,2021,"count"
"110010014022","block group","Block Group 2, Census Tract 14.02, District of Columbia","subs_pop_cnt",1163,2021,"count"
"110010014023","block group","Block Group 3, Census Tract 14.02, District of Columbia","subs_pop_cnt",1160,2021,"count"
"110010015001","block group","Block Group 1, Census Tract 15, District of Columbia","subs_pop_cnt",1679,2021,"count"
"110010015002","block group","Block Group 2, Census Tract 15, District of Columbia","subs_pop_cnt",1031,2021,"count"
"110010015003","block group","Block Group 3, Census Tract 15, District of Columbia","subs_pop_cnt",672,2021,"count"
"110010015004","block group","Block Group 4, Census Tract 15, District of Columbia","subs_pop_cnt",1581,2021,"count"
"110010015005","block group","Block Group 5, Census Tract 15, District of Columbia","subs_pop_cnt",1131,2021,"count"
"110010016001","block group","Block Group 1, Census Tract 16, District of Columbia","subs_pop_cnt",1329,2021,"count"
"110010016002","block group","Block Group 2, Census Tract 16, District of Columbia","subs_pop_cnt",675,2021,"count"
"110010016003","block group","Block Group 3, Census Tract 16, District of Columbia","subs_pop_cnt",896,2021,"count"
"110010016004","block group","Block Group 4, Census Tract 16, District of Columbia","subs_pop_cnt",2059,2021,"count"
"110010017021","block group","Block Group 1, Census Tract 17.02, District of Columbia","subs_pop_cnt",1513,2021,"count"
"110010017022","block group","Block Group 2, Census Tract 17.02, District of Columbia","subs_pop_cnt",1969,2021,"count"
"110010018031","block group","Block Group 1, Census Tract 18.03, District of Columbia","subs_pop_cnt",1288,2021,"count"
"110010018032","block group","Block Group 2, Census Tract 18.03, District of Columbia","subs_pop_cnt",2943,2021,"count"
"110010018041","block group","Block Group 1, Census Tract 18.04, District of Columbia","subs_pop_cnt",1366,2021,"count"
"110010018042","block group","Block Group 2, Census Tract 18.04, District of Columbia","subs_pop_cnt",2037,2021,"count"
"110010018043","block group","Block Group 3, Census Tract 18.04, District of Columbia","subs_pop_cnt",2491,2021,"count"
"110010019011","block group","Block Group 1, Census Tract 19.01, District of Columbia","subs_pop_cnt",927,2021,"count"
"110010019012","block group","Block Group 2, Census Tract 19.01, District of Columbia","subs_pop_cnt",956,2021,"count"
"110010019013","block group","Block Group 3, Census Tract 19.01, District of Columbia","subs_pop_cnt",1553,2021,"count"
"110010019014","block group","Block Group 4, Census Tract 19.01, District of Columbia","subs_pop_cnt",747,2021,"count"
"110010019021","block group","Block Group 1, Census Tract 19.02, District of Columbia","subs_pop_cnt",1700,2021,"count"
