geoid,region_type,region_name,year,value,measure,measure_type
51141,county,"Patrick County, Virginia",2016,9,degrees_awarded_undergraduate,count
51143,county,"Pittsylvania County, Virginia",2016,31,degrees_awarded_undergraduate,count
51145,county,"Powhatan County, Virginia",2016,16,degrees_awarded_undergraduate,count
51147,county,"Prince Edward County, Virginia",2016,5,degrees_awarded_undergraduate,count
51149,county,"Prince George County, Virginia",2016,12,degrees_awarded_undergraduate,count
51153,county,"Prince William County, Virginia",2016,185,degrees_awarded_undergraduate,count
51155,county,"Pulaski County, Virginia",2016,6,degrees_awarded_undergraduate,count
51157,county,"Rappahannock County, Virginia",2016,4,degrees_awarded_undergraduate,count
51159,county,"Richmond County, Virginia",2016,5,degrees_awarded_undergraduate,count
51161,county,"Roanoke County, Virginia",2016,90,degrees_awarded_undergraduate,count
51163,county,"Rockbridge County, Virginia",2016,9,degrees_awarded_undergraduate,count
51165,county,"Rockingham County, Virginia",2016,55,degrees_awarded_undergraduate,count
51167,county,"Russell County, Virginia",2016,7,degrees_awarded_undergraduate,count
51169,county,"Scott County, Virginia",2016,2,degrees_awarded_undergraduate,count
51171,county,"Shenandoah County, Virginia",2016,29,degrees_awarded_undergraduate,count
51173,county,"Smyth County, Virginia",2016,6,degrees_awarded_undergraduate,count
51175,county,"Southampton County, Virginia",2016,8,degrees_awarded_undergraduate,count
51177,county,"Spotsylvania County, Virginia",2016,63,degrees_awarded_undergraduate,count
51179,county,"Stafford County, Virginia",2016,71,degrees_awarded_undergraduate,count
51181,county,"Surry County, Virginia",2016,4,degrees_awarded_undergraduate,count
51183,county,"Sussex County, Virginia",2016,1,degrees_awarded_undergraduate,count
51185,county,"Tazewell County, Virginia",2016,12,degrees_awarded_undergraduate,count
51187,county,"Warren County, Virginia",2016,19,degrees_awarded_undergraduate,count
51191,county,"Washington County, Virginia",2016,11,degrees_awarded_undergraduate,count
51193,county,"Westmoreland County, Virginia",2016,3,degrees_awarded_undergraduate,count
51195,county,"Wise County, Virginia",2016,6,degrees_awarded_undergraduate,count
51197,county,"Wythe County, Virginia",2016,9,degrees_awarded_undergraduate,count
51199,county,"York County, Virginia",2016,31,degrees_awarded_undergraduate,count
51510,county,"Alexandria city, Virginia",2016,33,degrees_awarded_undergraduate,count
51515,county,"Bedford city, Virginia",2016,5,degrees_awarded_undergraduate,count
51520,county,"Bristol city, Virginia",2016,3,degrees_awarded_undergraduate,count
51530,county,"Buena Vista city, Virginia",2016,7,degrees_awarded_undergraduate,count
51540,county,"Charlottesville city, Virginia",2016,26,degrees_awarded_undergraduate,count
51550,county,"Chesapeake city, Virginia",2016,126,degrees_awarded_undergraduate,count
51570,county,"Colonial Heights city, Virginia",2016,7,degrees_awarded_undergraduate,count
51580,county,"Covington city, Virginia",2016,14,degrees_awarded_undergraduate,count
51590,county,"Danville city, Virginia",2016,27,degrees_awarded_undergraduate,count
51595,county,"Emporia city, Virginia",2016,3,degrees_awarded_undergraduate,count
51600,county,"Fairfax city, Virginia",2016,23,degrees_awarded_undergraduate,count
51610,county,"Falls Church city, Virginia",2016,4,degrees_awarded_undergraduate,count
51620,county,"Franklin city, Virginia",2016,5,degrees_awarded_undergraduate,count
51630,county,"Fredericksburg city, Virginia",2016,9,degrees_awarded_undergraduate,count
51640,county,"Galax city, Virginia",2016,8,degrees_awarded_undergraduate,count
51650,county,"Hampton city, Virginia",2016,46,degrees_awarded_undergraduate,count
51660,county,"Harrisonburg city, Virginia",2016,37,degrees_awarded_undergraduate,count
51670,county,"Hopewell city, Virginia",2016,4,degrees_awarded_undergraduate,count
51678,county,"Lexington city, Virginia",2016,3,degrees_awarded_undergraduate,count
51680,county,"Lynchburg city, Virginia",2016,49,degrees_awarded_undergraduate,count
51683,county,"Manassas city, Virginia",2016,12,degrees_awarded_undergraduate,count
51685,county,"Manassas Park city, Virginia",2016,4,degrees_awarded_undergraduate,count
51690,county,"Martinsville city, Virginia",2016,10,degrees_awarded_undergraduate,count
51700,county,"Newport News city, Virginia",2016,56,degrees_awarded_undergraduate,count
51710,county,"Norfolk city, Virginia",2016,82,degrees_awarded_undergraduate,count
51720,county,"Norton city, Virginia",2016,1,degrees_awarded_undergraduate,count
51730,county,"Petersburg city, Virginia",2016,5,degrees_awarded_undergraduate,count
51735,county,"Poquoson city, Virginia",2016,11,degrees_awarded_undergraduate,count
51740,county,"Portsmouth city, Virginia",2016,34,degrees_awarded_undergraduate,count
51750,county,"Radford city, Virginia",2016,32,degrees_awarded_undergraduate,count
51760,county,"Richmond city, Virginia",2016,65,degrees_awarded_undergraduate,count
51770,county,"Roanoke city, Virginia",2016,53,degrees_awarded_undergraduate,count
51775,county,"Salem city, Virginia",2016,20,degrees_awarded_undergraduate,count
51790,county,"Staunton city, Virginia",2016,17,degrees_awarded_undergraduate,count
51800,county,"Suffolk city, Virginia",2016,47,degrees_awarded_undergraduate,count
51810,county,"Virginia Beach city, Virginia",2016,223,degrees_awarded_undergraduate,count
51820,county,"Waynesboro city, Virginia",2016,16,degrees_awarded_undergraduate,count
51830,county,"Williamsburg city, Virginia",2016,3,degrees_awarded_undergraduate,count
51840,county,"Winchester city, Virginia",2016,18,degrees_awarded_undergraduate,count
51001,county,"Accomack County, Virginia",2017,13,degrees_awarded_undergraduate,count
51003,county,"Albemarle County, Virginia",2017,43,degrees_awarded_undergraduate,count
51005,county,"Alleghany County, Virginia",2017,4,degrees_awarded_undergraduate,count
51007,county,"Amelia County, Virginia",2017,4,degrees_awarded_undergraduate,count
51009,county,"Amherst County, Virginia",2017,16,degrees_awarded_undergraduate,count
51011,county,"Appomattox County, Virginia",2017,13,degrees_awarded_undergraduate,count
51013,county,"Arlington County, Virginia",2017,52,degrees_awarded_undergraduate,count
51015,county,"Augusta County, Virginia",2017,55,degrees_awarded_undergraduate,count
51017,county,"Bath County, Virginia",2017,1,degrees_awarded_undergraduate,count
51019,county,"Bedford County, Virginia",2017,41,degrees_awarded_undergraduate,count
51021,county,"Bland County, Virginia",2017,0,degrees_awarded_undergraduate,count
51023,county,"Botetourt County, Virginia",2017,26,degrees_awarded_undergraduate,count
51025,county,"Brunswick County, Virginia",2017,7,degrees_awarded_undergraduate,count
51027,county,"Buchanan County, Virginia",2017,4,degrees_awarded_undergraduate,count
51029,county,"Buckingham County, Virginia",2017,6,degrees_awarded_undergraduate,count
51031,county,"Campbell County, Virginia",2017,32,degrees_awarded_undergraduate,count
51033,county,"Caroline County, Virginia",2017,10,degrees_awarded_undergraduate,count
51035,county,"Carroll County, Virginia",2017,8,degrees_awarded_undergraduate,count
51036,county,"Charles City County, Virginia",2017,5,degrees_awarded_undergraduate,count
51037,county,"Charlotte County, Virginia",2017,7,degrees_awarded_undergraduate,count
51041,county,"Chesterfield County, Virginia",2017,170,degrees_awarded_undergraduate,count
51043,county,"Clarke County, Virginia",2017,8,degrees_awarded_undergraduate,count
51045,county,"Craig County, Virginia",2017,2,degrees_awarded_undergraduate,count
51047,county,"Culpeper County, Virginia",2017,9,degrees_awarded_undergraduate,count
51049,county,"Cumberland County, Virginia",2017,4,degrees_awarded_undergraduate,count
51051,county,"Dickenson County, Virginia",2017,0,degrees_awarded_undergraduate,count
51053,county,"Dinwiddie County, Virginia",2017,6,degrees_awarded_undergraduate,count
51057,county,"Essex County, Virginia",2017,7,degrees_awarded_undergraduate,count
51059,county,"Fairfax County, Virginia",2017,512,degrees_awarded_undergraduate,count
51061,county,"Fauquier County, Virginia",2017,23,degrees_awarded_undergraduate,count
51063,county,"Floyd County, Virginia",2017,5,degrees_awarded_undergraduate,count
51065,county,"Fluvanna County, Virginia",2017,8,degrees_awarded_undergraduate,count
51067,county,"Franklin County, Virginia",2017,30,degrees_awarded_undergraduate,count
51069,county,"Frederick County, Virginia",2017,48,degrees_awarded_undergraduate,count
51071,county,"Giles County, Virginia",2017,6,degrees_awarded_undergraduate,count
51073,county,"Gloucester County, Virginia",2017,7,degrees_awarded_undergraduate,count
51075,county,"Goochland County, Virginia",2017,11,degrees_awarded_undergraduate,count
51077,county,"Grayson County, Virginia",2017,7,degrees_awarded_undergraduate,count
51079,county,"Greene County, Virginia",2017,10,degrees_awarded_undergraduate,count
51081,county,"Greensville County, Virginia",2017,4,degrees_awarded_undergraduate,count
51083,county,"Halifax County, Virginia",2017,16,degrees_awarded_undergraduate,count
51085,county,"Hanover County, Virginia",2017,62,degrees_awarded_undergraduate,count
51087,county,"Henrico County, Virginia",2017,129,degrees_awarded_undergraduate,count
51089,county,"Henry County, Virginia",2017,31,degrees_awarded_undergraduate,count
51091,county,"Highland County, Virginia",2017,0,degrees_awarded_undergraduate,count
51093,county,"Isle of Wight County, Virginia",2017,13,degrees_awarded_undergraduate,count
51095,county,"James City County, Virginia",2017,33,degrees_awarded_undergraduate,count
51097,county,"King and Queen County, Virginia",2017,3,degrees_awarded_undergraduate,count
51099,county,"King George County, Virginia",2017,12,degrees_awarded_undergraduate,count
51101,county,"King William County, Virginia",2017,11,degrees_awarded_undergraduate,count
51103,county,"Lancaster County, Virginia",2017,1,degrees_awarded_undergraduate,count
51105,county,"Lee County, Virginia",2017,2,degrees_awarded_undergraduate,count
51107,county,"Loudoun County, Virginia",2017,192,degrees_awarded_undergraduate,count
51109,county,"Louisa County, Virginia",2017,9,degrees_awarded_undergraduate,count
51111,county,"Lunenburg County, Virginia",2017,2,degrees_awarded_undergraduate,count
51113,county,"Madison County, Virginia",2017,4,degrees_awarded_undergraduate,count
51115,county,"Mathews County, Virginia",2017,7,degrees_awarded_undergraduate,count
51117,county,"Mecklenburg County, Virginia",2017,12,degrees_awarded_undergraduate,count
51119,county,"Middlesex County, Virginia",2017,4,degrees_awarded_undergraduate,count
51121,county,"Montgomery County, Virginia",2017,44,degrees_awarded_undergraduate,count
51125,county,"Nelson County, Virginia",2017,8,degrees_awarded_undergraduate,count
51127,county,"New Kent County, Virginia",2017,13,degrees_awarded_undergraduate,count
51131,county,"Northampton County, Virginia",2017,1,degrees_awarded_undergraduate,count
51133,county,"Northumberland County, Virginia",2017,2,degrees_awarded_undergraduate,count
51135,county,"Nottoway County, Virginia",2017,4,degrees_awarded_undergraduate,count
51137,county,"Orange County, Virginia",2017,22,degrees_awarded_undergraduate,count
51139,county,"Page County, Virginia",2017,20,degrees_awarded_undergraduate,count
51141,county,"Patrick County, Virginia",2017,12,degrees_awarded_undergraduate,count
51143,county,"Pittsylvania County, Virginia",2017,25,degrees_awarded_undergraduate,count
51145,county,"Powhatan County, Virginia",2017,18,degrees_awarded_undergraduate,count
51147,county,"Prince Edward County, Virginia",2017,7,degrees_awarded_undergraduate,count
51149,county,"Prince George County, Virginia",2017,7,degrees_awarded_undergraduate,count
51153,county,"Prince William County, Virginia",2017,225,degrees_awarded_undergraduate,count
51155,county,"Pulaski County, Virginia",2017,12,degrees_awarded_undergraduate,count
51157,county,"Rappahannock County, Virginia",2017,1,degrees_awarded_undergraduate,count
51159,county,"Richmond County, Virginia",2017,5,degrees_awarded_undergraduate,count
51161,county,"Roanoke County, Virginia",2017,83,degrees_awarded_undergraduate,count
51163,county,"Rockbridge County, Virginia",2017,8,degrees_awarded_undergraduate,count
51165,county,"Rockingham County, Virginia",2017,55,degrees_awarded_undergraduate,count
51167,county,"Russell County, Virginia",2017,2,degrees_awarded_undergraduate,count
51169,county,"Scott County, Virginia",2017,1,degrees_awarded_undergraduate,count
51171,county,"Shenandoah County, Virginia",2017,28,degrees_awarded_undergraduate,count
51173,county,"Smyth County, Virginia",2017,9,degrees_awarded_undergraduate,count
51175,county,"Southampton County, Virginia",2017,4,degrees_awarded_undergraduate,count
51177,county,"Spotsylvania County, Virginia",2017,61,degrees_awarded_undergraduate,count
51179,county,"Stafford County, Virginia",2017,68,degrees_awarded_undergraduate,count
51181,county,"Surry County, Virginia",2017,1,degrees_awarded_undergraduate,count
51183,county,"Sussex County, Virginia",2017,0,degrees_awarded_undergraduate,count
51185,county,"Tazewell County, Virginia",2017,8,degrees_awarded_undergraduate,count
51187,county,"Warren County, Virginia",2017,20,degrees_awarded_undergraduate,count
51191,county,"Washington County, Virginia",2017,7,degrees_awarded_undergraduate,count
51193,county,"Westmoreland County, Virginia",2017,2,degrees_awarded_undergraduate,count
51195,county,"Wise County, Virginia",2017,10,degrees_awarded_undergraduate,count
51197,county,"Wythe County, Virginia",2017,10,degrees_awarded_undergraduate,count
51199,county,"York County, Virginia",2017,32,degrees_awarded_undergraduate,count
51510,county,"Alexandria city, Virginia",2017,40,degrees_awarded_undergraduate,count
51515,county,"Bedford city, Virginia",2017,2,degrees_awarded_undergraduate,count
51520,county,"Bristol city, Virginia",2017,0,degrees_awarded_undergraduate,count
51530,county,"Buena Vista city, Virginia",2017,3,degrees_awarded_undergraduate,count
