"","fips","TractID","geography","county","state","total_population_2020","percent_food_insecure_2020","number_food_insecure_2020","unemployment_rate","percent_poor","percent_black","percent_hispanic","median_income","percent_homeowners","percent_disabled"
"17",51059,51059420202,"Census Tract 4202.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",2164,0.035,80,0.038,0.014,0.289,0.123,116006,0.385,0.017
"18",51059,51059420203,"Census Tract 4202.03, Fairfax County, Virginia","Fairfax County, Virginia","VA",2917,0.018,50,0.031,0.016,0.137,0.062,174886,0.913,0.11
"19",51059,51059420300,"Census Tract 4203, Fairfax County, Virginia","Fairfax County, Virginia","VA",6118,0.026,160,0.043,0.046,0.077,0.25,148417,0.873,0.068
"20",51059,51059420400,"Census Tract 4204, Fairfax County, Virginia","Fairfax County, Virginia","VA",3264,0.06,200,0.012,0.041,0.176,0.061,86136,0.258,0.055
"21",51059,51059420501,"Census Tract 4205.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",961,0.042,40,0.002,0.031,0.161,0.01,71654,0.64,0.123
"22",51059,51059420502,"Census Tract 4205.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",2682,0.06,160,0.051,0.036,0.125,0.248,101316,0.457,0.083
"23",51059,51059420503,"Census Tract 4205.03, Fairfax County, Virginia","Fairfax County, Virginia","VA",3434,0.1,350,0.104,0.073,0.273,0.15,91047,0.328,0.056
"24",51059,51059420600,"Census Tract 4206, Fairfax County, Virginia","Fairfax County, Virginia","VA",4951,0.046,230,0.014,0.086,0.252,0.221,90750,0.537,0.065
"25",51059,51059420700,"Census Tract 4207, Fairfax County, Virginia","Fairfax County, Virginia","VA",4955,0.025,130,0.044,0.031,0.146,0.182,147419,0.864,0.09
"26",51059,51059420800,"Census Tract 4208, Fairfax County, Virginia","Fairfax County, Virginia","VA",3800,0.002,10,0.029,0.008,0.089,0.307,141451,0.973,0.104
"27",51059,51059421001,"Census Tract 4210.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",2908,0.024,70,0.026,0.027,0.178,0.176,115268,0.686,0.058
"28",51059,51059421002,"Census Tract 4210.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",5572,0.049,270,0.04,0.039,0.27,0.18,106957,0.483,0.081
"29",51059,51059421101,"Census Tract 4211.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",6242,0.009,60,0.032,0.021,0.311,0.113,116917,0.838,0.058
"30",51059,51059421102,"Census Tract 4211.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",3717,0.071,260,0.046,0.044,0.214,0.091,111111,0.501,0.142
"31",51059,51059421103,"Census Tract 4211.03, Fairfax County, Virginia","Fairfax County, Virginia","VA",6166,0.007,40,0.023,0.027,0.187,0.199,129931,0.902,0.074
"32",51059,51059421200,"Census Tract 4212, Fairfax County, Virginia","Fairfax County, Virginia","VA",2145,0.006,10,0.015,0.006,0.044,0.029,161250,0.889,0.051
"33",51059,51059421300,"Census Tract 4213, Fairfax County, Virginia","Fairfax County, Virginia","VA",3903,0.031,120,0.083,0.026,0.208,0.176,131307,0.969,0.077
"34",51059,51059421400,"Census Tract 4214, Fairfax County, Virginia","Fairfax County, Virginia","VA",6837,0.076,520,0.016,0.132,0.263,0.429,79564,0.213,0.069
"35",51059,51059421500,"Census Tract 4215, Fairfax County, Virginia","Fairfax County, Virginia","VA",7923,0.121,960,0.128,0.158,0.304,0.398,51528,0.536,0.086
"36",51059,51059421600,"Census Tract 4216, Fairfax County, Virginia","Fairfax County, Virginia","VA",6555,0.076,500,0.034,0.18,0.341,0.419,50787,0.642,0.106
"37",51059,51059421701,"Census Tract 4217.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",4991,0.089,440,0.08,0.146,0.342,0.548,66165,0.378,0.059
"38",51059,51059421702,"Census Tract 4217.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",4705,0,0,0.042,0.012,0.426,0.279,104789,0.897,0.066
"39",51059,51059421800,"Census Tract 4218, Fairfax County, Virginia","Fairfax County, Virginia","VA",6369,0.075,480,0.068,0.114,0.455,0.288,73168,0.545,0.104
"40",51059,51059421900,"Census Tract 4219, Fairfax County, Virginia","Fairfax County, Virginia","VA",2996,NA,NA,0.049,0.073,0.208,0.131,67368,0.023,0.07
"41",51059,51059422000,"Census Tract 4220, Fairfax County, Virginia","Fairfax County, Virginia","VA",3996,0.102,410,0.088,0.119,0.314,0.124,132692,0.64,0.164
"42",51059,51059422101,"Census Tract 4221.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",7640,0.05,380,0.029,0.077,0.312,0.261,93750,0.478,0.074
"43",51059,51059422102,"Census Tract 4221.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",6559,0.024,160,0.059,0.026,0.437,0.175,109645,0.703,0.056
"44",51059,51059422201,"Census Tract 4222.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",3681,0.02,80,0.042,0.001,0.093,0.084,128021,0.845,0.063
"45",51059,51059422202,"Census Tract 4222.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",7553,0.06,460,0.064,0.07,0.316,0.06,98578,0.643,0.061
"46",51059,51059422301,"Census Tract 4223.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",3041,0.052,160,0.029,0.075,0.26,0.106,103571,0.538,0.057
"47",51059,51059422302,"Census Tract 4223.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",6357,0.037,240,0.038,0.044,0.277,0.096,85259,0.721,0.075
"48",51059,51059422401,"Census Tract 4224.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",2722,0.047,130,0.008,0.026,0.181,0.182,108309,0.435,0.135
"49",51059,51059422402,"Census Tract 4224.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",5132,0.026,130,0.04,0.008,0.239,0.101,133324,0.702,0.08
"50",51059,51059422403,"Census Tract 4224.03, Fairfax County, Virginia","Fairfax County, Virginia","VA",3106,0.014,40,0.047,0.016,0.118,0.096,185500,0.926,0.061
"51",51059,51059430101,"Census Tract 4301.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",4948,0.016,80,0.041,0.025,0.018,0.08,185380,0.971,0.051
"52",51059,51059430102,"Census Tract 4301.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",2952,0.028,80,0.033,0.003,0.103,0.104,113000,0.787,0.102
"53",51059,51059430201,"Census Tract 4302.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",4480,0.039,180,0.068,0.015,0.027,0.123,142846,0.884,0.083
"54",51059,51059430202,"Census Tract 4302.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",5459,0.05,270,0.051,0.06,0.071,0.084,132262,0.77,0.054
"55",51059,51059430203,"Census Tract 4302.03, Fairfax County, Virginia","Fairfax County, Virginia","VA",2871,0.056,160,0.061,0.096,0.111,0.07,151250,0.898,0.062
"56",51059,51059430400,"Census Tract 4304, Fairfax County, Virginia","Fairfax County, Virginia","VA",7397,0.019,140,0.034,0.027,0.102,0.14,145102,0.885,0.072
"57",51059,51059430500,"Census Tract 4305, Fairfax County, Virginia","Fairfax County, Virginia","VA",1635,0.018,30,0.016,0.016,0.117,0.048,132188,0.919,0.116
"58",51059,51059430600,"Census Tract 4306, Fairfax County, Virginia","Fairfax County, Virginia","VA",7837,0.054,420,0.065,0.082,0.088,0.445,90551,0.728,0.07
"59",51059,51059430700,"Census Tract 4307, Fairfax County, Virginia","Fairfax County, Virginia","VA",2733,0.068,190,0.071,0.09,0.066,0.204,120341,0.892,0.118
"60",51059,51059430801,"Census Tract 4308.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",4587,0.029,140,0.011,0.012,0.067,0.131,124000,0.803,0.159
"61",51059,51059430802,"Census Tract 4308.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",4385,0.023,100,0.008,0.073,0.186,0.351,96750,0.704,0.066
"62",51059,51059430901,"Census Tract 4309.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",4426,0.021,90,0.021,0.036,0.148,0.161,122357,0.756,0.055
"63",51059,51059430902,"Census Tract 4309.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",3518,0.023,80,0.044,0.026,0.109,0.179,130729,0.826,0.051
"64",51059,51059431001,"Census Tract 4310.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",6048,0.038,230,0.084,0.019,0.131,0.246,104466,0.808,0.043
"65",51059,51059431002,"Census Tract 4310.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",2208,0.035,80,0.045,0.036,0.179,0.272,99327,0.724,0.089
"66",51059,51059431300,"Census Tract 4313, Fairfax County, Virginia","Fairfax County, Virginia","VA",4718,0.016,70,0.046,0.014,0.095,0.216,160859,0.908,0.082
"67",51059,51059431400,"Census Tract 4314, Fairfax County, Virginia","Fairfax County, Virginia","VA",4707,0.024,110,0.032,0.049,0.147,0.154,145893,0.884,0.077
"68",51059,51059431500,"Census Tract 4315, Fairfax County, Virginia","Fairfax County, Virginia","VA",5670,0.011,60,0.03,0.015,0.154,0.119,143922,0.842,0.051
"69",51059,51059431601,"Census Tract 4316.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",2009,NA,NA,0.059,0.026,0.012,0.017,63198,0.205,0.601
"70",51059,51059431602,"Census Tract 4316.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",6778,0.075,510,0.03,0.108,0.076,0.117,95417,0.686,0.115
"71",51059,51059431801,"Census Tract 4318.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",4141,0.029,120,0.052,0.025,0.076,0.206,122721,0.8,0.048
"72",51059,51059431802,"Census Tract 4318.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",3370,0.035,120,0.07,0.016,0.053,0.206,157440,0.861,0.086
"73",51059,51059431900,"Census Tract 4319, Fairfax County, Virginia","Fairfax County, Virginia","VA",3205,0.02,60,0.041,0.014,0.044,0.047,173636,0.974,0.086
"74",51059,51059432000,"Census Tract 4320, Fairfax County, Virginia","Fairfax County, Virginia","VA",3664,0.055,200,0.083,0.042,0.096,0.144,141490,0.825,0.082
"75",51059,51059432100,"Census Tract 4321, Fairfax County, Virginia","Fairfax County, Virginia","VA",3791,0.05,190,0.057,0.034,0.082,0.075,117941,0.795,0.091
"76",51059,51059432201,"Census Tract 4322.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",2591,0.044,120,0.033,0.044,0.159,0.157,94764,0.546,0.046
"77",51059,51059432202,"Census Tract 4322.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",4689,0.042,200,0.069,0.02,0.054,0.127,142557,0.845,0.079
"78",51059,51059432300,"Census Tract 4323, Fairfax County, Virginia","Fairfax County, Virginia","VA",5231,0.031,160,0.042,0.015,0.068,0.078,169663,0.859,0.109
"79",51059,51059432401,"Census Tract 4324.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",3057,0.019,60,0.035,0.011,0.061,0.053,183566,0.931,0.099
"80",51059,51059432402,"Census Tract 4324.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",5232,0.024,130,0.061,0.009,0.062,0.077,157955,0.908,0.047
"81",51059,51059432500,"Census Tract 4325, Fairfax County, Virginia","Fairfax County, Virginia","VA",6019,0.047,280,0.091,0.016,0.087,0.11,157426,0.933,0.103
"82",51059,51059432600,"Census Tract 4326, Fairfax County, Virginia","Fairfax County, Virginia","VA",4947,0,0,0.035,0.003,0.148,0.107,171042,0.927,0.043
"83",51059,51059432701,"Census Tract 4327.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",3087,0.01,30,0.026,0.011,0.107,0.074,168320,0.89,0.071
