geoid,measure,measure_type,region_name,region_type,value,year,moe
51177020309,job_participate_rate,percent,"Census Tract 203.09, Spotsylvania County, Virginia",tract,71.29,2015,""
51059451602,job_participate_rate,percent,"Census Tract 4516.02, Fairfax County, Virginia",tract,72.12,2015,""
51059416300,job_participate_rate,percent,"Census Tract 4163, Fairfax County, Virginia",tract,58.93,2015,""
51059421300,job_participate_rate,percent,"Census Tract 4213, Fairfax County, Virginia",tract,75.51,2015,""
51059421500,job_participate_rate,percent,"Census Tract 4215, Fairfax County, Virginia",tract,73.64,2015,""
51059421900,job_participate_rate,percent,"Census Tract 4219, Fairfax County, Virginia",tract,42.54,2015,""
51059430400,job_participate_rate,percent,"Census Tract 4304, Fairfax County, Virginia",tract,59.17,2015,""
51059460300,job_participate_rate,percent,"Census Tract 4603, Fairfax County, Virginia",tract,66.91,2015,""
51059451900,job_participate_rate,percent,"Census Tract 4519, Fairfax County, Virginia",tract,72.57,2015,""
51059452000,job_participate_rate,percent,"Census Tract 4520, Fairfax County, Virginia",tract,67.17,2015,""
51059481000,job_participate_rate,percent,"Census Tract 4810, Fairfax County, Virginia",tract,79.34,2015,""
51059481900,job_participate_rate,percent,"Census Tract 4819, Fairfax County, Virginia",tract,72.58,2015,""
51059415200,job_participate_rate,percent,"Census Tract 4152, Fairfax County, Virginia",tract,74.75,2015,""
51059415600,job_participate_rate,percent,"Census Tract 4156, Fairfax County, Virginia",tract,57.48,2015,""
51059416200,job_participate_rate,percent,"Census Tract 4162, Fairfax County, Virginia",tract,36.48,2015,""
51059450400,job_participate_rate,percent,"Census Tract 4504, Fairfax County, Virginia",tract,71,2015,""
51059416000,job_participate_rate,percent,"Census Tract 4160, Fairfax County, Virginia",tract,68.15,2015,""
51031020402,job_participate_rate,percent,"Census Tract 204.02, Campbell County, Virginia",tract,73.41,2015,""
51031020403,job_participate_rate,percent,"Census Tract 204.03, Campbell County, Virginia",tract,66.2,2015,""
51033030100,job_participate_rate,percent,"Census Tract 301, Caroline County, Virginia",tract,49.57,2015,""
51033030201,job_participate_rate,percent,"Census Tract 302.01, Caroline County, Virginia",tract,69.97,2015,""
