geoid,measure,measure_type,region_name,region_type,value,year,moe
51059451602,emp_rate,percent,"Census Tract 4516.02, Fairfax County, Virginia",tract,93.95,2015,""
51059416300,emp_rate,percent,"Census Tract 4163, Fairfax County, Virginia",tract,95.74,2015,""
51059421300,emp_rate,percent,"Census Tract 4213, Fairfax County, Virginia",tract,95.19,2015,""
51059421500,emp_rate,percent,"Census Tract 4215, Fairfax County, Virginia",tract,93.38,2015,""
51059421900,emp_rate,percent,"Census Tract 4219, Fairfax County, Virginia",tract,87.09,2015,""
51059430400,emp_rate,percent,"Census Tract 4304, Fairfax County, Virginia",tract,97.27,2015,""
51059460300,emp_rate,percent,"Census Tract 4603, Fairfax County, Virginia",tract,96.85,2015,""
51059451900,emp_rate,percent,"Census Tract 4519, Fairfax County, Virginia",tract,95.9,2015,""
51059452000,emp_rate,percent,"Census Tract 4520, Fairfax County, Virginia",tract,93.25,2015,""
51059481000,emp_rate,percent,"Census Tract 4810, Fairfax County, Virginia",tract,92.19,2015,""
51059481900,emp_rate,percent,"Census Tract 4819, Fairfax County, Virginia",tract,96.34,2015,""
51059415200,emp_rate,percent,"Census Tract 4152, Fairfax County, Virginia",tract,96.32,2015,""
51059415600,emp_rate,percent,"Census Tract 4156, Fairfax County, Virginia",tract,97.12,2015,""
51059416200,emp_rate,percent,"Census Tract 4162, Fairfax County, Virginia",tract,87.34,2015,""
51059450400,emp_rate,percent,"Census Tract 4504, Fairfax County, Virginia",tract,93.28,2015,""
51059416000,emp_rate,percent,"Census Tract 4160, Fairfax County, Virginia",tract,96.41,2015,""
51107610507,emp_rate,percent,"Census Tract 6105.07, Loudoun County, Virginia",tract,93.05,2015,""
51107610603,emp_rate,percent,"Census Tract 6106.03, Loudoun County, Virginia",tract,98.55,2015,""
51107610604,emp_rate,percent,"Census Tract 6106.04, Loudoun County, Virginia",tract,94.7,2015,""
51107610701,emp_rate,percent,"Census Tract 6107.01, Loudoun County, Virginia",tract,94.49,2015,""
51107610702,emp_rate,percent,"Census Tract 6107.02, Loudoun County, Virginia",tract,95.8,2015,""
51107610703,emp_rate,percent,"Census Tract 6107.03, Loudoun County, Virginia",tract,97.9,2015,""
51107611010,emp_rate,percent,"Census Tract 6110.10, Loudoun County, Virginia",tract,94.35,2015,""
51107611011,emp_rate,percent,"Census Tract 6110.11, Loudoun County, Virginia",tract,93.27,2015,""
51107611012,emp_rate,percent,"Census Tract 6110.12, Loudoun County, Virginia",tract,97.24,2015,""
51107611013,emp_rate,percent,"Census Tract 6110.13, Loudoun County, Virginia",tract,94.96,2015,""
51107611014,emp_rate,percent,"Census Tract 6110.14, Loudoun County, Virginia",tract,96.07,2015,""
51107611015,emp_rate,percent,"Census Tract 6110.15, Loudoun County, Virginia",tract,97.12,2015,""
