geoid,measure,measure_type,region_name,region_type,value,year,moe
51059451602,job_participate_rate,percent,"Census Tract 4516.02, Fairfax County, Virginia",tract,72.12,2015,""
51059416300,job_participate_rate,percent,"Census Tract 4163, Fairfax County, Virginia",tract,58.93,2015,""
51059421300,job_participate_rate,percent,"Census Tract 4213, Fairfax County, Virginia",tract,75.51,2015,""
51059421500,job_participate_rate,percent,"Census Tract 4215, Fairfax County, Virginia",tract,73.64,2015,""
51059421900,job_participate_rate,percent,"Census Tract 4219, Fairfax County, Virginia",tract,42.54,2015,""
51059430400,job_participate_rate,percent,"Census Tract 4304, Fairfax County, Virginia",tract,59.17,2015,""
51059460300,job_participate_rate,percent,"Census Tract 4603, Fairfax County, Virginia",tract,66.91,2015,""
51059451900,job_participate_rate,percent,"Census Tract 4519, Fairfax County, Virginia",tract,72.57,2015,""
51059452000,job_participate_rate,percent,"Census Tract 4520, Fairfax County, Virginia",tract,67.17,2015,""
51059481000,job_participate_rate,percent,"Census Tract 4810, Fairfax County, Virginia",tract,79.34,2015,""
51059481900,job_participate_rate,percent,"Census Tract 4819, Fairfax County, Virginia",tract,72.58,2015,""
51059415200,job_participate_rate,percent,"Census Tract 4152, Fairfax County, Virginia",tract,74.75,2015,""
51059415600,job_participate_rate,percent,"Census Tract 4156, Fairfax County, Virginia",tract,57.48,2015,""
51059416200,job_participate_rate,percent,"Census Tract 4162, Fairfax County, Virginia",tract,36.48,2015,""
51059450400,job_participate_rate,percent,"Census Tract 4504, Fairfax County, Virginia",tract,71,2015,""
51059416000,job_participate_rate,percent,"Census Tract 4160, Fairfax County, Virginia",tract,68.15,2015,""
51107610507,job_participate_rate,percent,"Census Tract 6105.07, Loudoun County, Virginia",tract,67.34,2015,""
51107610603,job_participate_rate,percent,"Census Tract 6106.03, Loudoun County, Virginia",tract,75.55,2015,""
51107610604,job_participate_rate,percent,"Census Tract 6106.04, Loudoun County, Virginia",tract,72.22,2015,""
51107610701,job_participate_rate,percent,"Census Tract 6107.01, Loudoun County, Virginia",tract,73.12,2015,""
51107610702,job_participate_rate,percent,"Census Tract 6107.02, Loudoun County, Virginia",tract,72.88,2015,""
51107610703,job_participate_rate,percent,"Census Tract 6107.03, Loudoun County, Virginia",tract,63.72,2015,""
51107611010,job_participate_rate,percent,"Census Tract 6110.10, Loudoun County, Virginia",tract,24.24,2015,""
51107611011,job_participate_rate,percent,"Census Tract 6110.11, Loudoun County, Virginia",tract,86.8,2015,""
51107611012,job_participate_rate,percent,"Census Tract 6110.12, Loudoun County, Virginia",tract,75.52,2015,""
51107611013,job_participate_rate,percent,"Census Tract 6110.13, Loudoun County, Virginia",tract,76.56,2015,""
51107611014,job_participate_rate,percent,"Census Tract 6110.14, Loudoun County, Virginia",tract,77.07,2015,""
51107611015,job_participate_rate,percent,"Census Tract 6110.15, Loudoun County, Virginia",tract,71.87,2015,""
51107611016,job_participate_rate,percent,"Census Tract 6110.16, Loudoun County, Virginia",tract,59.81,2015,""
51107611017,job_participate_rate,percent,"Census Tract 6110.17, Loudoun County, Virginia",tract,65.92,2015,""
51107611018,job_participate_rate,percent,"Census Tract 6110.18, Loudoun County, Virginia",tract,51.52,2015,""
51107611009,job_participate_rate,percent,"Census Tract 6110.09, Loudoun County, Virginia",tract,76.58,2015,""
51107611019,job_participate_rate,percent,"Census Tract 6110.19, Loudoun County, Virginia",tract,75.78,2015,""
51107611020,job_participate_rate,percent,"Census Tract 6110.20, Loudoun County, Virginia",tract,78.98,2015,""
51107611021,job_participate_rate,percent,"Census Tract 6110.21, Loudoun County, Virginia",tract,79.97,2015,""
51107611022,job_participate_rate,percent,"Census Tract 6110.22, Loudoun County, Virginia",tract,81.72,2015,""
51107611023,job_participate_rate,percent,"Census Tract 6110.23, Loudoun County, Virginia",tract,79.61,2015,""
51153900201,job_participate_rate,percent,"Census Tract 9002.01, Prince William County, Virginia",tract,76.85,2015,""
51153900202,job_participate_rate,percent,"Census Tract 9002.02, Prince William County, Virginia",tract,71.88,2015,""
51153900203,job_participate_rate,percent,"Census Tract 9002.03, Prince William County, Virginia",tract,81.72,2015,""
51153900410,job_participate_rate,percent,"Census Tract 9004.10, Prince William County, Virginia",tract,73.28,2015,""
51153900407,job_participate_rate,percent,"Census Tract 9004.07, Prince William County, Virginia",tract,74.01,2015,""
51153900408,job_participate_rate,percent,"Census Tract 9004.08, Prince William County, Virginia",tract,76.93,2015,""
