geoid,year,measure,value,moe,Unnamed: 0
51760030100,2019,HOI,2,,1
51710004800,2019,HOI,3,,2
51760020200,2019,HOI,3,,3
51770002502,2019,HOI,2,,4
51710004200,2019,HOI,3,,5
51760030501,2019,HOI,3,,6
51760020100,2019,HOI,3,,7
51710004100,2019,HOI,3,,8
51730810100,2019,HOI,1,,9
51700030100,2019,HOI,3,,10
51740211800,2019,HOI,3,,11
51710003501,2019,HOI,3,,12
51003010904,2019,HOI,3,,13
51013101704,2019,HOI,4,,14
51013101408,2019,HOI,4,,15
51760020400,2019,HOI,3,,16
51740210500,2019,HOI,3,,17
51059451400,2019,HOI,3,,18
51760040300,2019,HOI,2,,19
51013102701,2019,HOI,3,,20
51760060800,2019,HOI,3,,21
51590000400,2019,HOI,2,,22
51730810600,2019,HOI,1,,23
51059451601,2019,HOI,3,,24
51730810700,2019,HOI,1,,25
51760010300,2019,HOI,1,,26
51510201206,2019,HOI,4,,27
51013103505,2019,HOI,4,,28
51700030600,2019,HOI,3,,29
51013103503,2019,HOI,4,,30
51760021000,2019,HOI,4,,31
51710005100,2019,HOI,1,,32
51650011400,2019,HOI,3,,33
51087200805,2019,HOI,2,,34
51013103602,2019,HOI,4,,35
51700030800,2019,HOI,4,,36
51760060900,2019,HOI,2,,37
51590000500,2019,HOI,4,,38
51013101603,2019,HOI,4,,39
51760070601,2019,HOI,3,,40
51700030400,2019,HOI,3,,41
51105950301,2019,HOI,2,,42
51740212100,2019,HOI,1,,43
51059461902,2019,HOI,2,,44
51800065500,2019,HOI,2,,45
51710000902,2019,HOI,2,,46
51760060700,2019,HOI,3,,47
51710002900,2019,HOI,4,,48
51800065100,2019,HOI,3,,49
51710001300,2019,HOI,4,,50
51710002700,2019,HOI,3,,51
51680001100,2019,HOI,3,,52
51680000600,2019,HOI,2,,53
51710004300,2019,HOI,3,,54
51041100406,2019,HOI,1,,55
51590001000,2019,HOI,3,,56
51710005701,2019,HOI,3,,57
51041100404,2019,HOI,2,,58
51770001000,2019,HOI,3,,59
51510201205,2019,HOI,4,,60
51595890100,2019,HOI,3,,61
51550020100,2019,HOI,3,,62
51013101804,2019,HOI,4,,63
51710002500,2019,HOI,2,,64
51620090200,2019,HOI,2,,65
51510200102,2019,HOI,4,,66
51121020301,2019,HOI,4,,67
51770002600,2019,HOI,2,,68
51013102001,2019,HOI,4,,69
51510200304,2019,HOI,4,,70
51760030200,2019,HOI,3,,71
51680000400,2019,HOI,1,,72
51510200106,2019,HOI,4,,73
51013101705,2019,HOI,4,,74
51510200108,2019,HOI,4,,75
51810045810,2019,HOI,4,,76
51013103300,2019,HOI,4,,77
51710004600,2019,HOI,1,,78
51770000900,2019,HOI,3,,79
51520020201,2019,HOI,3,,80
51810040600,2019,HOI,4,,81
51700032300,2019,HOI,2,,82
51059415401,2019,HOI,4,,83
51700032006,2019,HOI,4,,84
51710001400,2019,HOI,4,,85
51710003400,2019,HOI,3,,86
51730810400,2019,HOI,2,,87
51680000700,2019,HOI,4,,88
51760071004,2019,HOI,4,,89
51710001100,2019,HOI,3,,90
51013101701,2019,HOI,4,,91
51710005901,2019,HOI,4,,92
51059450702,2019,HOI,3,,93
51680001900,2019,HOI,3,,94
51710004400,2019,HOI,4,,95
51710005500,2019,HOI,4,,96
51059480203,2019,HOI,4,,97
51177020313,2019,HOI,4,,98
51710004500,2019,HOI,3,,99
51510200409,2019,HOI,4,,100
51730811200,2019,HOI,3,,101
51670820100,2019,HOI,2,,102
51013103504,2019,HOI,4,,103
51510200109,2019,HOI,4,,104
51059480205,2019,HOI,4,,105
51013102200,2019,HOI,4,,106
51540000202,2019,HOI,3,,107
51540000401,2019,HOI,3,,108
51680000205,2019,HOI,4,,109
51710005800,2019,HOI,4,,110
51199050207,2019,HOI,4,,111
51760020700,2019,HOI,4,,112
51710001600,2019,HOI,3,,113
51700032126,2019,HOI,4,,114
51740211100,2019,HOI,3,,115
51550020910,2019,HOI,4,,116
51730811300,2019,HOI,2,,117
51153900203,2019,HOI,4,,118
51710004002,2019,HOI,4,,119
51550020500,2019,HOI,4,,120
51059421500,2019,HOI,4,,121
51710006400,2019,HOI,3,,122
51510201602,2019,HOI,4,,123
51700032123,2019,HOI,2,,124
51153900602,2019,HOI,4,,125
51710006501,2019,HOI,3,,126
51149850200,2019,HOI,2,,127
51650010504,2019,HOI,2,,128
51630000400,2019,HOI,3,,129
51760040400,2019,HOI,4,,130
51003010901,2019,HOI,4,,131
51760060200,2019,HOI,3,,132
51510200104,2019,HOI,4,,133
51730810500,2019,HOI,2,,134
51760020501,2019,HOI,4,,135
51670820300,2019,HOI,3,,136
51041100107,2019,HOI,4,,137
51041100806,2019,HOI,4,,138
51059451502,2019,HOI,4,,139
51740212000,2019,HOI,4,,140
51700030900,2019,HOI,3,,141
51700031902,2019,HOI,4,,142
51660000302,2019,HOI,4,,143
51137110200,2019,HOI,2,,144
51770002501,2019,HOI,2,,145
51087200153,2019,HOI,4,,146
51059452700,2019,HOI,4,,147
51800065302,2019,HOI,3,,148
51650010900,2019,HOI,4,,149
51013102002,2019,HOI,4,,150
51700032128,2019,HOI,4,,151
51059480204,2019,HOI,4,,152
51087200417,2019,HOI,4,,153
51013101409,2019,HOI,4,,154
51059420503,2019,HOI,4,,155
51700031701,2019,HOI,4,,156
51059452801,2019,HOI,4,,157
51550020300,2019,HOI,2,,158
51013102003,2019,HOI,4,,159
51001090402,2019,HOI,2,,160
51143010301,2019,HOI,2,,161
51760060400,2019,HOI,4,,162
51153901403,2019,HOI,4,,163
51153901419,2019,HOI,4,,164
51059421701,2019,HOI,4,,165
51510200408,2019,HOI,4,,166
51760040201,2019,HOI,4,,167
51740212801,2019,HOI,4,,168
51510200500,2019,HOI,4,,169
