geoid,access_care_quintile,access_care_level,region_name,region_type
51001090300,1,Very Low,"Census Tract 903, Accomack County, Virginia",tract
51001090200,1,Very Low,"Census Tract 902, Accomack County, Virginia",tract
51001980200,1,Very Low,"Census Tract 9802, Accomack County, Virginia",tract
51001090100,1,Very Low,"Census Tract 901, Accomack County, Virginia",tract
51001090800,3,Average,"Census Tract 908, Accomack County, Virginia",tract
51001090600,4,High,"Census Tract 906, Accomack County, Virginia",tract
51001090700,4,High,"Census Tract 907, Accomack County, Virginia",tract
51001090500,5,Very High,"Census Tract 905, Accomack County, Virginia",tract
51001090400,5,Very High,"Census Tract 904, Accomack County, Virginia",tract
51003010903,1,Very Low,"Census Tract 109.03, Albemarle County, Virginia",tract
51003011000,5,Very High,"Census Tract 110, Albemarle County, Virginia",tract
51003011400,5,Very High,"Census Tract 114, Albemarle County, Virginia",tract
51003010500,5,Very High,"Census Tract 105, Albemarle County, Virginia",tract
51003010300,5,Very High,"Census Tract 103, Albemarle County, Virginia",tract
51003011100,5,Very High,"Census Tract 111, Albemarle County, Virginia",tract
51003010901,5,Very High,"Census Tract 109.01, Albemarle County, Virginia",tract
51003010800,5,Very High,"Census Tract 108, Albemarle County, Virginia",tract
51003010700,5,Very High,"Census Tract 107, Albemarle County, Virginia",tract
51003010902,5,Very High,"Census Tract 109.02, Albemarle County, Virginia",tract
51003010100,5,Very High,"Census Tract 101, Albemarle County, Virginia",tract
51003011201,5,Very High,"Census Tract 112.01, Albemarle County, Virginia",tract
51003011202,5,Very High,"Census Tract 112.02, Albemarle County, Virginia",tract
51003010202,5,Very High,"Census Tract 102.02, Albemarle County, Virginia",tract
51003010601,5,Very High,"Census Tract 106.01, Albemarle County, Virginia",tract
51003010201,5,Very High,"Census Tract 102.01, Albemarle County, Virginia",tract
51003010401,5,Very High,"Census Tract 104.01, Albemarle County, Virginia",tract
51003010402,5,Very High,"Census Tract 104.02, Albemarle County, Virginia",tract
51003011301,5,Very High,"Census Tract 113.01, Albemarle County, Virginia",tract
51003011302,5,Very High,"Census Tract 113.02, Albemarle County, Virginia",tract
51003010602,5,Very High,"Census Tract 106.02, Albemarle County, Virginia",tract
51003011303,5,Very High,"Census Tract 113.03, Albemarle County, Virginia",tract
51510200201,2,Low,"Census Tract 2002.01, Alexandria city, Virginia",tract
51510200202,2,Low,"Census Tract 2002.02, Alexandria city, Virginia",tract
51510200600,2,Low,"Census Tract 2006, Alexandria city, Virginia",tract
51510200801,2,Low,"Census Tract 2008.01, Alexandria city, Virginia",tract
51510200802,2,Low,"Census Tract 2008.02, Alexandria city, Virginia",tract
51510200900,2,Low,"Census Tract 2009, Alexandria city, Virginia",tract
51510201000,2,Low,"Census Tract 2010, Alexandria city, Virginia",tract
51510201100,2,Low,"Census Tract 2011, Alexandria city, Virginia",tract
51510201202,2,Low,"Census Tract 2012.02, Alexandria city, Virginia",tract
51510201203,2,Low,"Census Tract 2012.03, Alexandria city, Virginia",tract
51510201204,2,Low,"Census Tract 2012.04, Alexandria city, Virginia",tract
51510201300,2,Low,"Census Tract 2013, Alexandria city, Virginia",tract
51510201400,2,Low,"Census Tract 2014, Alexandria city, Virginia",tract
51510201500,2,Low,"Census Tract 2015, Alexandria city, Virginia",tract
51510201600,2,Low,"Census Tract 2016, Alexandria city, Virginia",tract
51510201801,2,Low,"Census Tract 2018.01, Alexandria city, Virginia",tract
51510201802,2,Low,"Census Tract 2018.02, Alexandria city, Virginia",tract
51510201900,2,Low,"Census Tract 2019, Alexandria city, Virginia",tract
51510202001,2,Low,"Census Tract 2020.01, Alexandria city, Virginia",tract
51510202002,2,Low,"Census Tract 2020.02, Alexandria city, Virginia",tract
51510200702,2,Low,"Census Tract 2007.02, Alexandria city, Virginia",tract
51510200701,2,Low,"Census Tract 2007.01, Alexandria city, Virginia",tract
51510200703,2,Low,"Census Tract 2007.03, Alexandria city, Virginia",tract
51510200102,3,Average,"Census Tract 2001.02, Alexandria city, Virginia",tract
51510200104,3,Average,"Census Tract 2001.04, Alexandria city, Virginia",tract
51510200105,3,Average,"Census Tract 2001.05, Alexandria city, Virginia",tract
51510200301,3,Average,"Census Tract 2003.01, Alexandria city, Virginia",tract
51510200302,3,Average,"Census Tract 2003.02, Alexandria city, Virginia",tract
51510200303,3,Average,"Census Tract 2003.03, Alexandria city, Virginia",tract
51510200500,3,Average,"Census Tract 2005, Alexandria city, Virginia",tract
51510200103,3,Average,"Census Tract 2001.03, Alexandria city, Virginia",tract
51510200106,3,Average,"Census Tract 2001.06, Alexandria city, Virginia",tract
51510200107,3,Average,"Census Tract 2001.07, Alexandria city, Virginia",tract
51510200405,3,Average,"Census Tract 2004.05, Alexandria city, Virginia",tract
51510200406,3,Average,"Census Tract 2004.06, Alexandria city, Virginia",tract
51510200407,3,Average,"Census Tract 2004.07, Alexandria city, Virginia",tract
51510200404,3,Average,"Census Tract 2004.04, Alexandria city, Virginia",tract
51510200403,3,Average,"Census Tract 2004.03, Alexandria city, Virginia",tract
51005080100,1,Very Low,"Census Tract 801, Alleghany County, Virginia",tract
51005080201,1,Very Low,"Census Tract 802.01, Alleghany County, Virginia",tract
51005080202,1,Very Low,"Census Tract 802.02, Alleghany County, Virginia",tract
51005080301,1,Very Low,"Census Tract 803.01, Alleghany County, Virginia",tract
51005080302,1,Very Low,"Census Tract 803.02, Alleghany County, Virginia",tract
51005070100,1,Very Low,"Census Tract 701, Alleghany County, Virginia",tract
51007930100,1,Very Low,"Census Tract 9301, Amelia County, Virginia",tract
51007930200,1,Very Low,"Census Tract 9302, Amelia County, Virginia",tract
51009010200,1,Very Low,"Census Tract 102, Amherst County, Virginia",tract
51009010401,1,Very Low,"Census Tract 104.01, Amherst County, Virginia",tract
51009010600,1,Very Low,"Census Tract 106, Amherst County, Virginia",tract
51009010402,1,Very Low,"Census Tract 104.02, Amherst County, Virginia",tract
51009010503,2,Low,"Census Tract 105.03, Amherst County, Virginia",tract
51009010504,2,Low,"Census Tract 105.04, Amherst County, Virginia",tract
51009010502,2,Low,"Census Tract 105.02, Amherst County, Virginia",tract
51009010100,3,Average,"Census Tract 101, Amherst County, Virginia",tract
51009010300,3,Average,"Census Tract 103, Amherst County, Virginia",tract
51011040200,1,Very Low,"Census Tract 402, Appomattox County, Virginia",tract
51011040300,2,Low,"Census Tract 403, Appomattox County, Virginia",tract
51011040100,2,Low,"Census Tract 401, Appomattox County, Virginia",tract
51013103503,1,Very Low,"Census Tract 1035.03, Arlington County, Virginia",tract
51013103000,2,Low,"Census Tract 1030, Arlington County, Virginia",tract
51013103401,2,Low,"Census Tract 1034.01, Arlington County, Virginia",tract
51013103800,2,Low,"Census Tract 1038, Arlington County, Virginia",tract
51013103100,2,Low,"Census Tract 1031, Arlington County, Virginia",tract
51013102400,2,Low,"Census Tract 1024, Arlington County, Virginia",tract
51013103200,2,Low,"Census Tract 1032, Arlington County, Virginia",tract
51013102500,2,Low,"Census Tract 1025, Arlington County, Virginia",tract
51013103300,2,Low,"Census Tract 1033, Arlington County, Virginia",tract
51013103700,2,Low,"Census Tract 1037, Arlington County, Virginia",tract
51013103402,2,Low,"Census Tract 1034.02, Arlington County, Virginia",tract
51013101601,2,Low,"Census Tract 1016.01, Arlington County, Virginia",tract
51013101603,2,Low,"Census Tract 1016.03, Arlington County, Virginia",tract
51013101803,2,Low,"Census Tract 1018.03, Arlington County, Virginia",tract
51013101703,2,Low,"Census Tract 1017.03, Arlington County, Virginia",tract
51013101702,2,Low,"Census Tract 1017.02, Arlington County, Virginia",tract
51013103501,2,Low,"Census Tract 1035.01, Arlington County, Virginia",tract
51013103601,2,Low,"Census Tract 1036.01, Arlington County, Virginia",tract
51013980200,2,Low,"Census Tract 9802, Arlington County, Virginia",tract
51013103502,2,Low,"Census Tract 1035.02, Arlington County, Virginia",tract
51013103602,2,Low,"Census Tract 1036.02, Arlington County, Virginia",tract
51013101701,2,Low,"Census Tract 1017.01, Arlington County, Virginia",tract
51013102902,2,Low,"Census Tract 1029.02, Arlington County, Virginia",tract
51013980100,2,Low,"Census Tract 9801, Arlington County, Virginia",tract
51013100200,3,Average,"Census Tract 1002, Arlington County, Virginia",tract
51013100300,3,Average,"Census Tract 1003, Arlington County, Virginia",tract
51013102200,3,Average,"Census Tract 1022, Arlington County, Virginia",tract
51013101500,3,Average,"Census Tract 1015, Arlington County, Virginia",tract
51013101100,3,Average,"Census Tract 1011, Arlington County, Virginia",tract
51013100700,3,Average,"Census Tract 1007, Arlington County, Virginia",tract
51013100400,3,Average,"Census Tract 1004, Arlington County, Virginia",tract
51013102100,3,Average,"Census Tract 1021, Arlington County, Virginia",tract
51013100900,3,Average,"Census Tract 1009, Arlington County, Virginia",tract
51013101000,3,Average,"Census Tract 1010, Arlington County, Virginia",tract
51013100800,3,Average,"Census Tract 1008, Arlington County, Virginia",tract
51013101200,3,Average,"Census Tract 1012, Arlington County, Virginia",tract
51013101300,3,Average,"Census Tract 1013, Arlington County, Virginia",tract
51013100500,3,Average,"Census Tract 1005, Arlington County, Virginia",tract
51013100600,3,Average,"Census Tract 1006, Arlington County, Virginia",tract
51013101900,3,Average,"Census Tract 1019, Arlington County, Virginia",tract
51013102600,3,Average,"Census Tract 1026, Arlington County, Virginia",tract
51013101401,3,Average,"Census Tract 1014.01, Arlington County, Virginia",tract
51013101404,3,Average,"Census Tract 1014.04, Arlington County, Virginia",tract
51013101403,3,Average,"Census Tract 1014.03, Arlington County, Virginia",tract
51013101402,3,Average,"Census Tract 1014.02, Arlington County, Virginia",tract
51013102003,3,Average,"Census Tract 1020.03, Arlington County, Virginia",tract
51013102301,3,Average,"Census Tract 1023.01, Arlington County, Virginia",tract
51013102001,3,Average,"Census Tract 1020.01, Arlington County, Virginia",tract
51013102002,3,Average,"Census Tract 1020.02, Arlington County, Virginia",tract
51013102302,3,Average,"Census Tract 1023.02, Arlington County, Virginia",tract
51013102801,3,Average,"Census Tract 1028.01, Arlington County, Virginia",tract
51013102802,3,Average,"Census Tract 1028.02, Arlington County, Virginia",tract
51013102701,3,Average,"Census Tract 1027.01, Arlington County, Virginia",tract
51013102702,3,Average,"Census Tract 1027.02, Arlington County, Virginia",tract
51013102901,3,Average,"Census Tract 1029.01, Arlington County, Virginia",tract
51013101802,3,Average,"Census Tract 1018.02, Arlington County, Virginia",tract
51013101602,3,Average,"Census Tract 1016.02, Arlington County, Virginia",tract
51013101801,3,Average,"Census Tract 1018.01, Arlington County, Virginia",tract
51013100100,4,High,"Census Tract 1001, Arlington County, Virginia",tract
51015071102,1,Very Low,"Census Tract 711.02, Augusta County, Virginia",tract
51015070200,2,Low,"Census Tract 702, Augusta County, Virginia",tract
51015071000,2,Low,"Census Tract 710, Augusta County, Virginia",tract
51015070100,2,Low,"Census Tract 701, Augusta County, Virginia",tract
51015070700,3,Average,"Census Tract 707, Augusta County, Virginia",tract
51015070800,3,Average,"Census Tract 708, Augusta County, Virginia",tract
51015070900,3,Average,"Census Tract 709, Augusta County, Virginia",tract
51015070300,3,Average,"Census Tract 703, Augusta County, Virginia",tract
51015071200,4,High,"Census Tract 712, Augusta County, Virginia",tract
51015070600,4,High,"Census Tract 706, Augusta County, Virginia",tract
51015071101,4,High,"Census Tract 711.01, Augusta County, Virginia",tract
51015070500,5,Very High,"Census Tract 705, Augusta County, Virginia",tract
51015070400,5,Very High,"Census Tract 704, Augusta County, Virginia",tract
51017920100,1,Very Low,"Census Tract 9201, Bath County, Virginia",tract
51515050100,4,High,"Census Tract 501, Bedford city, Virginia",tract
51019030501,1,Very Low,"Census Tract 305.01, Bedford County, Virginia",tract
51019030101,2,Low,"Census Tract 301.01, Bedford County, Virginia",tract
51019030202,2,Low,"Census Tract 302.02, Bedford County, Virginia",tract
51019030201,2,Low,"Census Tract 302.01, Bedford County, Virginia",tract
51019030300,2,Low,"Census Tract 303, Bedford County, Virginia",tract
51019030103,2,Low,"Census Tract 301.03, Bedford County, Virginia",tract
51019030104,2,Low,"Census Tract 301.04, Bedford County, Virginia",tract
51019030503,2,Low,"Census Tract 305.03, Bedford County, Virginia",tract
51019030601,3,Average,"Census Tract 306.01, Bedford County, Virginia",tract
51019030603,3,Average,"Census Tract 306.03, Bedford County, Virginia",tract
51019030605,3,Average,"Census Tract 306.05, Bedford County, Virginia",tract
51019030602,3,Average,"Census Tract 306.02, Bedford County, Virginia",tract
51019030604,4,High,"Census Tract 306.04, Bedford County, Virginia",tract
51019030504,4,High,"Census Tract 305.04, Bedford County, Virginia",tract
51019030401,5,Very High,"Census Tract 304.01, Bedford County, Virginia",tract
51019030402,5,Very High,"Census Tract 304.02, Bedford County, Virginia",tract
51021040100,1,Very Low,"Census Tract 401, Bland County, Virginia",tract
51021040200,2,Low,"Census Tract 402, Bland County, Virginia",tract
51023040502,3,Average,"Census Tract 405.02, Botetourt County, Virginia",tract
51023040100,5,Very High,"Census Tract 401, Botetourt County, Virginia",tract
51023040200,5,Very High,"Census Tract 402, Botetourt County, Virginia",tract
51023040401,5,Very High,"Census Tract 404.01, Botetourt County, Virginia",tract
51023040302,5,Very High,"Census Tract 403.02, Botetourt County, Virginia",tract
51023040402,5,Very High,"Census Tract 404.02, Botetourt County, Virginia",tract
51023040501,5,Very High,"Census Tract 405.01, Botetourt County, Virginia",tract
51023040301,5,Very High,"Census Tract 403.01, Botetourt County, Virginia",tract
51520020200,1,Very Low,"Census Tract 202, Bristol city, Virginia",tract
51520020300,1,Very Low,"Census Tract 203, Bristol city, Virginia",tract
51520020400,1,Very Low,"Census Tract 204, Bristol city, Virginia",tract
51520020100,1,Very Low,"Census Tract 201, Bristol city, Virginia",tract
51025930300,1,Very Low,"Census Tract 9303, Brunswick County, Virginia",tract
51025930100,1,Very Low,"Census Tract 9301, Brunswick County, Virginia",tract
51025930201,1,Very Low,"Census Tract 9302.01, Brunswick County, Virginia",tract
51025930202,1,Very Low,"Census Tract 9302.02, Brunswick County, Virginia",tract
51025930203,1,Very Low,"Census Tract 9302.03, Brunswick County, Virginia",tract
51027010500,1,Very Low,"Census Tract 105, Buchanan County, Virginia",tract
51027010400,1,Very Low,"Census Tract 104, Buchanan County, Virginia",tract
51027010600,1,Very Low,"Census Tract 106, Buchanan County, Virginia",tract
51027010700,1,Very Low,"Census Tract 107, Buchanan County, Virginia",tract
51027010100,1,Very Low,"Census Tract 101, Buchanan County, Virginia",tract
51027010200,1,Very Low,"Census Tract 102, Buchanan County, Virginia",tract
51027010300,1,Very Low,"Census Tract 103, Buchanan County, Virginia",tract
51029930202,1,Very Low,"Census Tract 9302.02, Buckingham County, Virginia",tract
51029930201,1,Very Low,"Census Tract 9302.01, Buckingham County, Virginia",tract
51029930102,5,Very High,"Census Tract 9301.02, Buckingham County, Virginia",tract
51029930101,5,Very High,"Census Tract 9301.01, Buckingham County, Virginia",tract
51530930600,2,Low,"Census Tract 9306, Buena Vista city, Virginia",tract
51031020102,1,Very Low,"Census Tract 201.02, Campbell County, Virginia",tract
51031020300,2,Low,"Census Tract 203, Campbell County, Virginia",tract
51031020200,2,Low,"Census Tract 202, Campbell County, Virginia",tract
51031020500,2,Low,"Census Tract 205, Campbell County, Virginia",tract
51031020800,2,Low,"Census Tract 208, Campbell County, Virginia",tract
51031020600,2,Low,"Census Tract 206, Campbell County, Virginia",tract
51031020700,2,Low,"Census Tract 207, Campbell County, Virginia",tract
51031020101,2,Low,"Census Tract 201.01, Campbell County, Virginia",tract
51031020403,2,Low,"Census Tract 204.03, Campbell County, Virginia",tract
51031020401,2,Low,"Census Tract 204.01, Campbell County, Virginia",tract
51031020402,2,Low,"Census Tract 204.02, Campbell County, Virginia",tract
51031020900,5,Very High,"Census Tract 209, Campbell County, Virginia",tract
51033030100,1,Very Low,"Census Tract 301, Caroline County, Virginia",tract
51033030300,1,Very Low,"Census Tract 303, Caroline County, Virginia",tract
51033030400,1,Very Low,"Census Tract 304, Caroline County, Virginia",tract
51033030202,1,Very Low,"Census Tract 302.02, Caroline County, Virginia",tract
51033030500,2,Low,"Census Tract 305, Caroline County, Virginia",tract
51033030600,2,Low,"Census Tract 306, Caroline County, Virginia",tract
51033030201,4,High,"Census Tract 302.01, Caroline County, Virginia",tract
51035080400,1,Very Low,"Census Tract 804, Carroll County, Virginia",tract
51035080300,1,Very Low,"Census Tract 803, Carroll County, Virginia",tract
51035080602,1,Very Low,"Census Tract 806.02, Carroll County, Virginia",tract
51035080601,1,Very Low,"Census Tract 806.01, Carroll County, Virginia",tract
51035080500,2,Low,"Census Tract 805, Carroll County, Virginia",tract
51035080100,2,Low,"Census Tract 801, Carroll County, Virginia",tract
51035080200,2,Low,"Census Tract 802, Carroll County, Virginia",tract
51036600300,1,Very Low,"Census Tract 6003, Charles City County, Virginia",tract
51036600200,2,Low,"Census Tract 6002, Charles City County, Virginia",tract
51036600100,2,Low,"Census Tract 6001, Charles City County, Virginia",tract
51037930100,1,Very Low,"Census Tract 9301, Charlotte County, Virginia",tract
51037930200,1,Very Low,"Census Tract 9302, Charlotte County, Virginia",tract
51037930300,2,Low,"Census Tract 9303, Charlotte County, Virginia",tract
51540000600,5,Very High,"Census Tract 6, Charlottesville city, Virginia",tract
51540000302,5,Very High,"Census Tract 3.02, Charlottesville city, Virginia",tract
51540000900,5,Very High,"Census Tract 9, Charlottesville city, Virginia",tract
51540000501,5,Very High,"Census Tract 5.01, Charlottesville city, Virginia",tract
51540000202,5,Very High,"Census Tract 2.02, Charlottesville city, Virginia",tract
51540000700,5,Very High,"Census Tract 7, Charlottesville city, Virginia",tract
51540000502,5,Very High,"Census Tract 5.02, Charlottesville city, Virginia",tract
51540000800,5,Very High,"Census Tract 8, Charlottesville city, Virginia",tract
51540000201,5,Very High,"Census Tract 2.01, Charlottesville city, Virginia",tract
51540000401,5,Very High,"Census Tract 4.01, Charlottesville city, Virginia",tract
51540000402,5,Very High,"Census Tract 4.02, Charlottesville city, Virginia",tract
51540001000,5,Very High,"Census Tract 10, Charlottesville city, Virginia",tract
51550021102,1,Very Low,"Census Tract 211.02, Chesapeake city, Virginia",tract
51550020807,2,Low,"Census Tract 208.07, Chesapeake city, Virginia",tract
51550020806,2,Low,"Census Tract 208.06, Chesapeake city, Virginia",tract
51550020804,2,Low,"Census Tract 208.04, Chesapeake city, Virginia",tract
51550020904,2,Low,"Census Tract 209.04, Chesapeake city, Virginia",tract
51550021006,2,Low,"Census Tract 210.06, Chesapeake city, Virginia",tract
51550021005,2,Low,"Census Tract 210.05, Chesapeake city, Virginia",tract
51550021004,2,Low,"Census Tract 210.04, Chesapeake city, Virginia",tract
51550021101,2,Low,"Census Tract 211.01, Chesapeake city, Virginia",tract
51550021200,2,Low,"Census Tract 212, Chesapeake city, Virginia",tract
51550020805,2,Low,"Census Tract 208.05, Chesapeake city, Virginia",tract
51550021009,2,Low,"Census Tract 210.09, Chesapeake city, Virginia",tract
51550020906,2,Low,"Census Tract 209.06, Chesapeake city, Virginia",tract
51550021013,2,Low,"Census Tract 210.13, Chesapeake city, Virginia",tract
51550021012,2,Low,"Census Tract 210.12, Chesapeake city, Virginia",tract
51550021010,2,Low,"Census Tract 210.10, Chesapeake city, Virginia",tract
51550021011,2,Low,"Census Tract 210.11, Chesapeake city, Virginia",tract
51550020001,3,Average,"Census Tract 200.01, Chesapeake city, Virginia",tract
51550020002,3,Average,"Census Tract 200.02, Chesapeake city, Virginia",tract
51550020003,3,Average,"Census Tract 200.03, Chesapeake city, Virginia",tract
51550020100,3,Average,"Census Tract 201, Chesapeake city, Virginia",tract
51550020200,3,Average,"Census Tract 202, Chesapeake city, Virginia",tract
51550020300,3,Average,"Census Tract 203, Chesapeake city, Virginia",tract
51550020400,3,Average,"Census Tract 204, Chesapeake city, Virginia",tract
51550020600,3,Average,"Census Tract 206, Chesapeake city, Virginia",tract
51550020700,3,Average,"Census Tract 207, Chesapeake city, Virginia",tract
51550020903,3,Average,"Census Tract 209.03, Chesapeake city, Virginia",tract
51550021301,3,Average,"Census Tract 213.01, Chesapeake city, Virginia",tract
51550021302,3,Average,"Census Tract 213.02, Chesapeake city, Virginia",tract
51550021401,3,Average,"Census Tract 214.01, Chesapeake city, Virginia",tract
51550021402,3,Average,"Census Tract 214.02, Chesapeake city, Virginia",tract
51550021403,3,Average,"Census Tract 214.03, Chesapeake city, Virginia",tract
51550021404,3,Average,"Census Tract 214.04, Chesapeake city, Virginia",tract
51550021501,3,Average,"Census Tract 215.01, Chesapeake city, Virginia",tract
51550020808,3,Average,"Census Tract 208.08, Chesapeake city, Virginia",tract
51550020905,3,Average,"Census Tract 209.05, Chesapeake city, Virginia",tract
51550020809,3,Average,"Census Tract 208.09, Chesapeake city, Virginia",tract
51550020500,3,Average,"Census Tract 205, Chesapeake city, Virginia",tract
51550021502,4,High,"Census Tract 215.02, Chesapeake city, Virginia",tract
51550021601,4,High,"Census Tract 216.01, Chesapeake city, Virginia",tract
51550021602,4,High,"Census Tract 216.02, Chesapeake city, Virginia",tract
51041100701,1,Very Low,"Census Tract 1007.01, Chesterfield County, Virginia",tract
51041100300,4,High,"Census Tract 1003, Chesterfield County, Virginia",tract
51041100406,4,High,"Census Tract 1004.06, Chesterfield County, Virginia",tract
51041100926,4,High,"Census Tract 1009.26, Chesterfield County, Virginia",tract
