geoid,year,measure,value,moe,Unnamed: 0
51760030100,2019,segregation_indicator,0.145,,1
51710004800,2019,segregation_indicator,0.308,,2
51760020200,2019,segregation_indicator,0.151,,3
51770002502,2019,segregation_indicator,0.526,,4
51710004200,2019,segregation_indicator,0.336,,5
51760030501,2019,segregation_indicator,0.828,,6
51760020100,2019,segregation_indicator,0.187,,7
51710004100,2019,segregation_indicator,0.266,,8
51730810100,2019,segregation_indicator,0.259,,9
51700030100,2019,segregation_indicator,0.745,,10
51740211800,2019,segregation_indicator,0.278,,11
51710003501,2019,segregation_indicator,0.195,,12
51003010904,2019,segregation_indicator,0.771,,13
51013101704,2019,segregation_indicator,0.757,,14
51013101408,2019,segregation_indicator,0.608,,15
51760020400,2019,segregation_indicator,0.296,,16
51740210500,2019,segregation_indicator,0.285,,17
51059451400,2019,segregation_indicator,0.713,,18
51760040300,2019,segregation_indicator,0.885,,19
51013102701,2019,segregation_indicator,0.936,,20
51760060800,2019,segregation_indicator,0.625,,21
51590000400,2019,segregation_indicator,0.47,,22
51730810600,2019,segregation_indicator,0.157,,23
51059451601,2019,segregation_indicator,0.515,,24
51730810700,2019,segregation_indicator,0.272,,25
51760010300,2019,segregation_indicator,0.202,,26
51510201206,2019,segregation_indicator,0.681,,27
51013103505,2019,segregation_indicator,0.84,,28
51700030600,2019,segregation_indicator,0.349,,29
51013103503,2019,segregation_indicator,0.853,,30
51760021000,2019,segregation_indicator,0.483,,31
51710005100,2019,segregation_indicator,0.368,,32
51650011400,2019,segregation_indicator,0.361,,33
51087200805,2019,segregation_indicator,0.304,,34
51013103602,2019,segregation_indicator,0.825,,35
51700030800,2019,segregation_indicator,0.28,,36
51760060900,2019,segregation_indicator,0.789,,37
51590000500,2019,segregation_indicator,0.572,,38
51013101603,2019,segregation_indicator,0.687,,39
51760070601,2019,segregation_indicator,0.681,,40
51700030400,2019,segregation_indicator,0.151,,41
51105950301,2019,segregation_indicator,0.527,,42
51740212100,2019,segregation_indicator,0.183,,43
51059461902,2019,segregation_indicator,0.77,,44
51800065500,2019,segregation_indicator,0.24,,45
51710000902,2019,segregation_indicator,0.77,,46
51760060700,2019,segregation_indicator,0.425,,47
51710002900,2019,segregation_indicator,0.496,,48
51800065100,2019,segregation_indicator,0.413,,49
51710001300,2019,segregation_indicator,0.7,,50
51710002700,2019,segregation_indicator,0.439,,51
51680001100,2019,segregation_indicator,0.483,,52
51680000600,2019,segregation_indicator,0.572,,53
51710004300,2019,segregation_indicator,0.174,,54
51041100406,2019,segregation_indicator,0.764,,55
51590001000,2019,segregation_indicator,0.706,,56
51710005701,2019,segregation_indicator,0.821,,57
51041100404,2019,segregation_indicator,0.857,,58
51770001000,2019,segregation_indicator,0.63,,59
51510201205,2019,segregation_indicator,0.681,,60
51595890100,2019,segregation_indicator,0.413,,61
51550020100,2019,segregation_indicator,0.37,,62
51013101804,2019,segregation_indicator,0.717,,63
51710002500,2019,segregation_indicator,0.745,,64
51620090200,2019,segregation_indicator,0.323,,65
51510200102,2019,segregation_indicator,0.891,,66
51121020301,2019,segregation_indicator,0.572,,67
51770002600,2019,segregation_indicator,0.636,,68
51013102001,2019,segregation_indicator,0.84,,69
51510200304,2019,segregation_indicator,0.853,,70
51760030200,2019,segregation_indicator,0.732,,71
51680000400,2019,segregation_indicator,0.63,,72
51510200106,2019,segregation_indicator,0.872,,73
51013101705,2019,segregation_indicator,0.757,,74
51510200108,2019,segregation_indicator,0.84,,75
51810045810,2019,segregation_indicator,0.713,,76
51013103300,2019,segregation_indicator,0.834,,77
51710004600,2019,segregation_indicator,0.355,,78
51770000900,2019,segregation_indicator,0.719,,79
51520020201,2019,segregation_indicator,0.31,,80
51810040600,2019,segregation_indicator,0.815,,81
51700032300,2019,segregation_indicator,0.879,,82
51059415401,2019,segregation_indicator,0.808,,83
51700032006,2019,segregation_indicator,0.591,,84
51710001400,2019,segregation_indicator,0.757,,85
51710003400,2019,segregation_indicator,0.457,,86
51730810400,2019,segregation_indicator,0.447,,87
51680000700,2019,segregation_indicator,0.623,,88
51760071004,2019,segregation_indicator,0.568,,89
51710001100,2019,segregation_indicator,0.904,,90
51013101701,2019,segregation_indicator,0.694,,91
51710005901,2019,segregation_indicator,0.636,,92
51059450702,2019,segregation_indicator,0.853,,93
51680001900,2019,segregation_indicator,0.457,,94
51710004400,2019,segregation_indicator,0.457,,95
51710005500,2019,segregation_indicator,0.821,,96
51059480203,2019,segregation_indicator,0.738,,97
51177020313,2019,segregation_indicator,0.713,,98
51710004500,2019,segregation_indicator,0.24,,99
51510200409,2019,segregation_indicator,0.897,,100
51730811200,2019,segregation_indicator,0.662,,101
51670820100,2019,segregation_indicator,0.668,,102
