geoid,year,measure,value,moe,Unnamed: 0
51760030100,2018,segregation_indicator,0.158,,1
51710004800,2018,segregation_indicator,0.259,,2
51760020200,2018,segregation_indicator,0.146,,3
51770002502,2018,segregation_indicator,0.587,,4
51710004200,2018,segregation_indicator,0.196,,5
51760030501,2018,segregation_indicator,0.848,,6
51760020100,2018,segregation_indicator,0.173,,7
51710004100,2018,segregation_indicator,0.335,,8
51730810100,2018,segregation_indicator,0.259,,9
51700030100,2018,segregation_indicator,0.759,,10
51740211800,2018,segregation_indicator,0.272,,11
51710003501,2018,segregation_indicator,0.304,,12
51003010904,2018,segregation_indicator,0.762,,13
51013101704,2018,segregation_indicator,0.766,,14
51013101408,2018,segregation_indicator,0.607,,15
51760020400,2018,segregation_indicator,0.296,,16
51740210500,2018,segregation_indicator,0.165,,17
51059451400,2018,segregation_indicator,0.728,,18
51760040300,2018,segregation_indicator,0.892,,19
51013102701,2018,segregation_indicator,0.911,,20
51760060800,2018,segregation_indicator,0.613,,21
51590000400,2018,segregation_indicator,0.513,,22
51730810600,2018,segregation_indicator,0.146,,23
51059451601,2018,segregation_indicator,0.525,,24
51730810700,2018,segregation_indicator,0.285,,25
51760010300,2018,segregation_indicator,0.196,,26
51510201206,2018,segregation_indicator,0.684,,27
51013103505,2018,segregation_indicator,0.829,,28
51700030600,2018,segregation_indicator,0.323,,29
51013103503,2018,segregation_indicator,0.804,,30
51760021000,2018,segregation_indicator,0.468,,31
51710005100,2018,segregation_indicator,0.443,,32
51650011400,2018,segregation_indicator,0.323,,33
51087200805,2018,segregation_indicator,0.259,,34
51013103602,2018,segregation_indicator,0.782,,35
51700030800,2018,segregation_indicator,0.267,,36
51760060900,2018,segregation_indicator,0.722,,37
51590000500,2018,segregation_indicator,0.551,,38
51013101603,2018,segregation_indicator,0.654,,39
51760070601,2018,segregation_indicator,0.69,,40
51700030400,2018,segregation_indicator,0.12,,41
51105950301,2018,segregation_indicator,0.5,,42
51740212100,2018,segregation_indicator,0.146,,43
51059461902,2018,segregation_indicator,0.779,,44
51800065500,2018,segregation_indicator,0.234,,45
51710000902,2018,segregation_indicator,0.734,,46
51760060700,2018,segregation_indicator,0.449,,47
51710002900,2018,segregation_indicator,0.5,,48
51800065100,2018,segregation_indicator,0.418,,49
51710001300,2018,segregation_indicator,0.766,,50
51710002700,2018,segregation_indicator,0.412,,51
51680001100,2018,segregation_indicator,0.481,,52
51680000600,2018,segregation_indicator,0.5,,53
51710004300,2018,segregation_indicator,0.186,,54
51041100406,2018,segregation_indicator,0.753,,55
51590001000,2018,segregation_indicator,0.665,,56
51710005701,2018,segregation_indicator,0.791,,57
51041100404,2018,segregation_indicator,0.856,,58
51770001000,2018,segregation_indicator,0.652,,59
51510201205,2018,segregation_indicator,0.684,,60
51595890100,2018,segregation_indicator,0.336,,61
51550020100,2018,segregation_indicator,0.389,,62
51013101804,2018,segregation_indicator,0.659,,63
51710002500,2018,segregation_indicator,0.728,,64
51620090200,2018,segregation_indicator,0.291,,65
51510200102,2018,segregation_indicator,0.861,,66
51121020301,2018,segregation_indicator,0.608,,67
51770002600,2018,segregation_indicator,0.551,,68
51013102001,2018,segregation_indicator,0.791,,69
51510200304,2018,segregation_indicator,0.848,,70
51760030200,2018,segregation_indicator,0.696,,71
51680000400,2018,segregation_indicator,0.652,,72
51510200106,2018,segregation_indicator,0.854,,73
51013101705,2018,segregation_indicator,0.766,,74
51510200108,2018,segregation_indicator,0.835,,75
51810045810,2018,segregation_indicator,0.734,,76
51013103300,2018,segregation_indicator,0.867,,77
51710004600,2018,segregation_indicator,0.329,,78
51770000900,2018,segregation_indicator,0.563,,79
51520020201,2018,segregation_indicator,0.437,,80
51810040600,2018,segregation_indicator,0.823,,81
51700032300,2018,segregation_indicator,0.861,,82
51059415401,2018,segregation_indicator,0.81,,83
51700032006,2018,segregation_indicator,0.532,,84
51710001400,2018,segregation_indicator,0.722,,85
51710003400,2018,segregation_indicator,0.443,,86
51730810400,2018,segregation_indicator,0.499,,87
51680000700,2018,segregation_indicator,0.557,,88
51760071004,2018,segregation_indicator,0.672,,89
51710001100,2018,segregation_indicator,0.892,,90
51013101701,2018,segregation_indicator,0.703,,91
51710005901,2018,segregation_indicator,0.722,,92
51059450702,2018,segregation_indicator,0.835,,93
51680001900,2018,segregation_indicator,0.475,,94
51710004400,2018,segregation_indicator,0.361,,95
51710005500,2018,segregation_indicator,0.854,,96
51059480203,2018,segregation_indicator,0.741,,97
51177020313,2018,segregation_indicator,0.753,,98
51710004500,2018,segregation_indicator,0.278,,99
51510200409,2018,segregation_indicator,0.898,,100
51730811200,2018,segregation_indicator,0.627,,101
51670820100,2018,segregation_indicator,0.652,,102
51013103504,2018,segregation_indicator,0.829,,103
51510200109,2018,segregation_indicator,0.835,,104
51059480205,2018,segregation_indicator,0.734,,105
51013102200,2018,segregation_indicator,0.899,,106
51540000202,2018,segregation_indicator,0.665,,107
51540000401,2018,segregation_indicator,0.753,,108
51680000205,2018,segregation_indicator,0.576,,109
51710005800,2018,segregation_indicator,0.456,,110
51199050207,2018,segregation_indicator,0.81,,111
51760020700,2018,segregation_indicator,0.614,,112
51710001600,2018,segregation_indicator,0.525,,113
51700032126,2018,segregation_indicator,0.816,,114
51740211100,2018,segregation_indicator,0.437,,115
51550020910,2018,segregation_indicator,0.633,,116
51730811300,2018,segregation_indicator,0.425,,117
51153900203,2018,segregation_indicator,0.898,,118
51710004002,2018,segregation_indicator,0.633,,119
51550020500,2018,segregation_indicator,0.804,,120
51059421500,2018,segregation_indicator,0.753,,121
51710006400,2018,segregation_indicator,0.589,,122
51510201602,2018,segregation_indicator,0.727,,123
51700032123,2018,segregation_indicator,0.81,,124
51153900602,2018,segregation_indicator,0.804,,125
51710006501,2018,segregation_indicator,0.703,,126
51149850200,2018,segregation_indicator,0.851,,127
51650010504,2018,segregation_indicator,0.494,,128
51630000400,2018,segregation_indicator,0.777,,129
51760040400,2018,segregation_indicator,0.474,,130
51003010901,2018,segregation_indicator,0.646,,131
51760060200,2018,segregation_indicator,0.418,,132
51510200104,2018,segregation_indicator,0.899,,133
51730810500,2018,segregation_indicator,0.373,,134
51760020501,2018,segregation_indicator,0.661,,135
51670820300,2018,segregation_indicator,0.759,,136
51041100107,2018,segregation_indicator,0.847,,137
51041100806,2018,segregation_indicator,0.791,,138
51059451502,2018,segregation_indicator,0.848,,139
51740212000,2018,segregation_indicator,0.089,,140
51700030900,2018,segregation_indicator,0.538,,141
51700031902,2018,segregation_indicator,0.688,,142
51660000302,2018,segregation_indicator,0.582,,143
51137110200,2018,segregation_indicator,0.576,,144
51770002501,2018,segregation_indicator,0.596,,145
51087200153,2018,segregation_indicator,0.829,,146
51059452700,2018,segregation_indicator,0.88,,147
51800065302,2018,segregation_indicator,0.525,,148
51650010900,2018,segregation_indicator,0.633,,149
51013102002,2018,segregation_indicator,0.778,,150
51700032128,2018,segregation_indicator,0.804,,151
51059480204,2018,segregation_indicator,0.734,,152
51087200417,2018,segregation_indicator,0.886,,153
51013101409,2018,segregation_indicator,0.605,,154
51059420503,2018,segregation_indicator,0.824,,155
51700031701,2018,segregation_indicator,0.583,,156
51059452801,2018,segregation_indicator,0.842,,157
51550020300,2018,segregation_indicator,0.532,,158
51013102003,2018,segregation_indicator,0.809,,159
51001090402,2018,segregation_indicator,0.671,,160
51143010301,2018,segregation_indicator,0.405,,161
51760060400,2018,segregation_indicator,0.462,,162
51153901403,2018,segregation_indicator,0.955,,163
51153901419,2018,segregation_indicator,0.905,,164
51059421701,2018,segregation_indicator,0.766,,165
51510200408,2018,segregation_indicator,0.899,,166
51760040201,2018,segregation_indicator,0.709,,167
51740212801,2018,segregation_indicator,0.696,,168
51510200500,2018,segregation_indicator,0.791,,169
51760011000,2018,segregation_indicator,0.532,,170
51107610505,2018,segregation_indicator,0.74,,171
51680000500,2018,segregation_indicator,0.614,,172
51810044005,2018,segregation_indicator,0.506,,173
51059481101,2018,segregation_indicator,0.766,,174
51153901102,2018,segregation_indicator,0.874,,175
51810040200,2018,segregation_indicator,0.816,,176
51660000101,2018,segregation_indicator,0.81,,177
51009010505,2018,segregation_indicator,0.454,,178
51760070803,2018,segregation_indicator,0.614,,179
51059451501,2018,segregation_indicator,0.88,,180
51800065401,2018,segregation_indicator,0.335,,181
51760021200,2018,segregation_indicator,0.342,,182
51013102804,2018,segregation_indicator,0.873,,183
51041100212,2018,segregation_indicator,0.759,,184
51760010202,2018,segregation_indicator,0.513,,185
51009010506,2018,segregation_indicator,0.563,,186
51117930202,2018,segregation_indicator,0.507,,187
51087200412,2018,segregation_indicator,0.829,,188
51590000600,2018,segregation_indicator,0.538,,189
51013101805,2018,segregation_indicator,0.658,,190
51760010800,2018,segregation_indicator,0.253,,191
51147930101,2018,segregation_indicator,0.532,,192
51670820700,2018,segregation_indicator,0.481,,193
51059440503,2018,segregation_indicator,0.778,,194
51710002600,2018,segregation_indicator,0.792,,195
51770001200,2018,segregation_indicator,0.493,,196
51570830200,2018,segregation_indicator,0.677,,197
51810044006,2018,segregation_indicator,0.506,,198
51041100410,2018,segregation_indicator,0.696,,199
51700030300,2018,segregation_indicator,0.241,,200
51059451602,2018,segregation_indicator,0.886,,201
51059416200,2018,segregation_indicator,0.804,,202
51089010100,2018,segregation_indicator,0.532,,203
51510200406,2018,segregation_indicator,0.896,,204
51770002400,2018,segregation_indicator,0.406,,205
51087200418,2018,segregation_indicator,0.886,,206
51153901702,2018,segregation_indicator,0.601,,207
51059471301,2018,segregation_indicator,0.816,,208
51153900901,2018,segregation_indicator,0.816,,209
51760071002,2018,segregation_indicator,0.576,,210
51041100907,2018,segregation_indicator,0.582,,211
51059491202,2018,segregation_indicator,0.949,,212
51740212400,2018,segregation_indicator,0.652,,213
51013101803,2018,segregation_indicator,0.665,,214
51590001100,2018,segregation_indicator,0.589,,215
51770000100,2018,segregation_indicator,0.626,,216
51800075103,2018,segregation_indicator,0.753,,217
51185020900,2018,segregation_indicator,0.07,,218
51087200700,2018,segregation_indicator,0.665,,219
51013101407,2018,segregation_indicator,0.601,,220
51700032212,2018,segregation_indicator,0.789,,221
51059481102,2018,segregation_indicator,0.816,,222
51153901101,2018,segregation_indicator,0.892,,223
51760040600,2018,segregation_indicator,0.506,,224
51540000501,2018,segregation_indicator,0.665,,225
51510200301,2018,segregation_indicator,0.937,,226
51059422000,2018,segregation_indicator,0.892,,227
51037930101,2018,segregation_indicator,0.437,,228
51013103405,2018,segregation_indicator,0.791,,229
51187020400,2018,segregation_indicator,0.506,,230
51830370200,2018,segregation_indicator,0.655,,231
