geoid,year,phys_30_cnt
51001090400,2017,21
51001090400,2019,19
51001990100,2017,11
51001990100,2019,13
51001090200,2017,5
51001090200,2019,4
51001090100,2017,5
51001090100,2019,4
51001090500,2020,17
51001090500,2021,15
51001090401,2020,14
51001090401,2021,13
51001090300,2020,14
51001090300,2021,13
51001980200,2020,14
51001980200,2021,13
51001090202,2020,14
51001090202,2021,13
51001980100,2020,5
51001980100,2021,6
51001090101,2020,5
51001090101,2021,6
51001090201,2020,5
51001090201,2021,6
51001090102,2020,5
51001090102,2021,6
51001090400,2018,17
51001990100,2018,9
51001090100,2018,3
51001090200,2018,3
51001090402,2020,15
51001090402,2021,13
51001090800,2020,18
51001090800,2021,15
51001090700,2020,18
51001090700,2021,15
51001090600,2020,13
51001090600,2021,10
51131930100,2017,16
51131930100,2018,14
51131930100,2019,18
51131930100,2020,17
51131930100,2021,14
51001090800,2017,16
51001090800,2018,14
51001090800,2019,18
51001090700,2017,16
51001090700,2018,14
51001090700,2019,18
51001090402,2017,16
51001090402,2018,14
51001090402,2019,15
51001090400,2020,12
51001090400,2021,9
51001090500,2017,16
51001090500,2018,14
51001090500,2019,15
51001090401,2017,6
51001090401,2018,6
51001090401,2019,9
51001990100,2020,9
51001990100,2021,7
51001090300,2017,6
51001090300,2018,6
51001090300,2019,9
51001980200,2017,6
51001980200,2018,6
51001980200,2019,9
51001090202,2017,6
51001090202,2018,6
51001090202,2019,9
51001090600,2017,16
51001090600,2018,14
51001090600,2019,15
51125950200,2017,217
51125950200,2018,215
51125950200,2019,229
51125950200,2020,174
51125950200,2021,159
51125950201,2017,148
51125950201,2018,154
51125950201,2019,170
51125950201,2020,205
51125950201,2021,185
51003011202,2017,152
51003011202,2018,152
51003011202,2019,168
51003011202,2020,239
51003011202,2021,221
51003010402,2017,164
51003010402,2018,161
51003010402,2019,176
51003010402,2020,250
51003010402,2021,232
51003011303,2017,155
51003011303,2018,156
51003011303,2019,173
51003011303,2020,253
51003011303,2021,235
51003011201,2017,162
51003011201,2018,167
51003011201,2019,183
51003011201,2020,283
51003011201,2021,265
51003011302,2017,155
51003011302,2018,156
51003011302,2019,173
51003011302,2020,251
51003011302,2021,233
51540000502,2017,155
51540000502,2018,156
51540000502,2019,173
51540000502,2020,253
51540000502,2021,235
51540000402,2017,162
51540000402,2018,162
51540000402,2019,179
51540000402,2020,259
51540000402,2021,241
51540000401,2017,155
51540000401,2018,156
51540000401,2019,173
51540000401,2020,253
51540000401,2021,235
51003010502,2017,167
51003010502,2018,165
51003010502,2019,181
51003010502,2020,257
51003010502,2021,239
51540000501,2017,155
51540000501,2018,156
51540000501,2019,173
51540000501,2020,253
51540000501,2021,235
51540000600,2017,155
51540000600,2018,156
51540000600,2019,173
51540000600,2020,253
51540000600,2021,235
51540000302,2017,170
51540000302,2018,169
51540000302,2019,186
51540000302,2020,263
51540000302,2021,245
51003010903,2017,253
51003010903,2018,247
51003010903,2019,258
51003010903,2020,166
51003010903,2021,149
51540001000,2017,162
51540001000,2018,162
51540001000,2019,179
51540001000,2020,259
51540001000,2021,241
51003010904,2017,155
51003010904,2018,156
51003010904,2019,173
51003010904,2020,253
51003010904,2021,235
51540000202,2017,155
51540000202,2018,156
51540000202,2019,173
51540000202,2020,253
51540000202,2021,235
51003010902,2017,253
51003010902,2018,247
51003010902,2019,258
51003010902,2020,166
51003010902,2021,149
51540000201,2017,162
51540000201,2018,162
51540000201,2019,179
51540000201,2020,259
51540000201,2021,241
51540000900,2017,159
51540000900,2018,158
51540000900,2019,174
51540000900,2020,252
51540000900,2021,234
51003010500,2017,251
51003010500,2018,242
51003010500,2019,251
51003010500,2020,161
51003010500,2021,144
51540000700,2017,155
51540000700,2018,156
51540000700,2019,173
51540000700,2020,253
51540000700,2021,235
51003010901,2017,155
51003010901,2018,156
51003010901,2019,173
51003010901,2020,244
51003010901,2021,226
51003010501,2017,157
51003010501,2018,155
51003010501,2019,170
51003010501,2020,246
51003010501,2021,228
51003011103,2017,156
51003011103,2018,162
51003011103,2019,178
51003011103,2020,279
51003011103,2021,262
51820003200,2017,160
51820003200,2018,168
51820003200,2019,182
51820003200,2020,238
51820003200,2021,221
51003011102,2017,155
51003011102,2018,161
51003011102,2019,177
51003011102,2020,272
51003011102,2021,254
51540000800,2017,155
51540000800,2018,156
51540000800,2019,173
51540000800,2020,253
51540000800,2021,235
51003011000,2017,158
51003011000,2018,159
51003011000,2019,177
51003011000,2020,278
51003011000,2021,257
51003010801,2017,155
51003010801,2018,156
51003010801,2019,173
51003010801,2020,253
51003010801,2021,235
51003011100,2017,270
51003011100,2018,264
51003011100,2019,277
51003011100,2020,170
51003011100,2021,155
51003010602,2017,152
51003010602,2018,152
51003010602,2019,168
51003010602,2020,245
51003010602,2021,227
51820003500,2017,168
51820003500,2018,176
51820003500,2019,190
51820003500,2020,229
51820003500,2021,206
51820003100,2017,185
51820003100,2018,190
51820003100,2019,202
51820003100,2020,255
51820003100,2021,233
51003010701,2017,155
51003010701,2018,156
51003010701,2019,173
51003010701,2020,244
51003010701,2021,226
51003010603,2017,152
51003010603,2018,152
51003010603,2019,168
51003010603,2020,246
51003010603,2021,228
51003010700,2017,250
51003010700,2018,243
51003010700,2019,253
51003010700,2020,161
51003010700,2021,144
51820003400,2017,191
51820003400,2018,196
51820003400,2019,206
51820003400,2020,244
51820003400,2021,220
51003010800,2017,253
51003010800,2018,247
51003010800,2019,258
51003010800,2020,166
51003010800,2021,149
51003010702,2017,152
51003010702,2018,152
51003010702,2019,168
51003010702,2020,246
51003010702,2021,228
51003011101,2017,155
51003011101,2018,161
51003011101,2019,177
51003011101,2020,272
51003011101,2021,254
51003010802,2017,155
51003010802,2018,156
51003010802,2019,173
51003010802,2020,242
51003010802,2021,224
51003010601,2017,246
51003010601,2018,239
51003010601,2019,249
51003010601,2020,161
51003010601,2021,144
51003010401,2017,155
51003010401,2018,155
51003010401,2019,169
51003010401,2020,242
51003010401,2021,225
51820003300,2017,178
51820003300,2018,184
51820003300,2019,196
51820003300,2020,233
51820003300,2021,208
51003010604,2017,152
51003010604,2018,152
51003010604,2019,168
51003010604,2020,245
51003010604,2021,227
51003010302,2017,149
51003010302,2018,148
51003010302,2019,163
51003010302,2020,240
51003010302,2021,222
51015070500,2017,197
51015070500,2018,202
51015070500,2019,211
51015070500,2020,246
51015070500,2021,235
51003010202,2017,155
51003010202,2018,156
51003010202,2019,173
51003010202,2020,244
51003010202,2021,226
51003010300,2017,247
51003010300,2018,239
51003010300,2019,246
51003010300,2020,155
51003010300,2021,138
51003010303,2017,149
51003010303,2018,148
51003010303,2019,162
51003010303,2020,239
51003010303,2021,222
51003010301,2017,157
51003010301,2018,155
51003010301,2019,170
51003010301,2020,246
51003010301,2021,228
51003010201,2017,146
51003010201,2018,147
51003010201,2019,162
51003010201,2020,240
51003010201,2021,224
51079030201,2017,150
51079030201,2018,150
51079030201,2019,164
51079030201,2020,242
51079030201,2021,226
51079030200,2017,249
51079030200,2018,242
51079030200,2019,249
51079030200,2020,154
51079030200,2021,139
51079030202,2017,150
51079030202,2018,150
51079030202,2019,164
51079030202,2020,242
51079030202,2021,226
51079030102,2017,136
51079030102,2018,137
51079030102,2019,150
51079030102,2020,212
51079030102,2021,196
51079030101,2017,147
51079030101,2018,151
51079030101,2019,157
51079030101,2020,217
51079030101,2021,209
51003010100,2017,144
51003010100,2018,148
51003010100,2019,165
51003010100,2020,227
51003010100,2021,212
51065020102,2017,228
51065020102,2018,225
51065020102,2019,232
51109950300,2017,226
51109950300,2018,219
51109950300,2019,219
51137110300,2017,247
51137110300,2018,236
51137110300,2019,232
51113930100,2017,89
51113930100,2018,85
51113930100,2019,79
51113930200,2017,64
51113930200,2018,59
51113930200,2019,52
51003011400,2020,212
51003011400,2021,197
51065020103,2020,233
51065020103,2021,218
51003011301,2020,230
51003011301,2021,212
51065020104,2020,237
