geoid,year,phys_30_cnt
51065020104,2021,221
51065020101,2020,209
51065020101,2021,197
51109950301,2020,237
51109950301,2021,222
51109950302,2020,228
51109950302,2021,212
51137110301,2020,242
51137110301,2021,224
51137110302,2020,246
51137110302,2021,226
51113930102,2020,88
51113930102,2021,81
51113930201,2020,229
51113930201,2021,212
51165010100,2020,77
51165010100,2021,77
51113930101,2020,55
51113930101,2021,50
51165010200,2020,78
51165010200,2021,78
51113930202,2020,56
51113930202,2021,52
51065020300,2020,212
51065020300,2021,197
51065020200,2020,171
51065020200,2021,159
51109950400,2020,73
51109950400,2021,70
51109950201,2020,87
51109950201,2021,84
51109950303,2020,97
51109950303,2021,93
51137110200,2020,109
51137110200,2021,104
51065020300,2019,166
51003011400,2019,158
51065020103,2019,169
51065020102,2020,150
51065020102,2021,135
51003011301,2019,162
51065020104,2019,166
51065020101,2019,148
51109950301,2019,168
51109950302,2019,160
51109950300,2020,132
51109950300,2021,118
51137110301,2019,160
51137110300,2020,145
51137110300,2021,128
51137110302,2019,171
51113930102,2019,33
51113930100,2020,29
51113930100,2021,24
51113930201,2019,150
51065020300,2017,153
51065020300,2018,153
51065020200,2017,141
51065020200,2018,140
51065020200,2019,144
51003011400,2017,143
51003011400,2018,142
51065020103,2017,157
51065020103,2018,156
51003011301,2017,148
51003011301,2018,147
51065020104,2017,151
51065020104,2018,153
51065020101,2017,142
51065020101,2018,142
51109950301,2017,154
51109950301,2018,154
51109950302,2017,147
51109950302,2018,147
51137110301,2017,162
51137110301,2018,156
51137110302,2017,164
51137110302,2018,160
51113930201,2017,149
51113930201,2018,145
51015071202,2020,187
51015071202,2021,174
51015070601,2020,211
51015070601,2021,193
51125950202,2017,40
51125950202,2018,42
51125950202,2019,52
51125950202,2020,95
51125950202,2021,87
51015071201,2017,42
51015071201,2018,49
51015071201,2019,58
51015071201,2020,109
51015071201,2021,102
51015071200,2017,93
51015071200,2018,94
51015071200,2019,106
51015071200,2020,59
51015071200,2021,56
51015071202,2017,118
51015071202,2018,128
51015071202,2019,142
51015071101,2017,67
51015071101,2018,71
51015071101,2019,78
51015071101,2020,126
51015071101,2021,114
51015070601,2017,155
51015070601,2018,159
51015070601,2019,169
51015070602,2017,117
51015070602,2018,117
51015070602,2019,120
51015070602,2020,162
51015070602,2021,156
51015070600,2017,168
51015070600,2018,162
51015070600,2019,168
51015070600,2020,112
51015070600,2021,110
51015071102,2020,83
51015071102,2021,78
51015070603,2020,134
51015070603,2021,130
51790000600,2020,133
51790000600,2021,129
51790000200,2020,133
51790000200,2021,129
51790000100,2020,134
51790000100,2021,130
51790000500,2020,134
51790000500,2021,130
51015070400,2020,136
51015070400,2021,132
51125950102,2017,16
51125950102,2018,15
51125950102,2019,17
51125950102,2020,23
51125950102,2021,23
51125950300,2017,7
51125950300,2018,10
51125950300,2019,13
51125950300,2020,19
51125950300,2021,19
51015071102,2017,25
51015071102,2018,31
51015071102,2019,33
51015070900,2017,56
51015070900,2018,59
51015070900,2019,57
51015070900,2020,92
51015070900,2021,83
51015070603,2017,100
51015070603,2018,99
51015070603,2019,95
51790000600,2017,100
51790000600,2018,99
51790000600,2019,94
51790000200,2017,100
51790000200,2018,99
51790000200,2019,94
51790000100,2017,100
51790000100,2018,99
51790000100,2019,95
51790000300,2017,100
51790000300,2018,99
51790000300,2019,94
51790000300,2020,125
51790000300,2021,123
51790000500,2017,100
51790000500,2018,99
51790000500,2019,95
51790000401,2017,100
51790000401,2018,99
51790000401,2019,95
51790000401,2020,126
51790000401,2021,124
51790000400,2017,142
51790000400,2018,136
51790000400,2019,134
51790000400,2020,86
51790000400,2021,86
51790000402,2017,100
51790000402,2018,99
51790000402,2019,95
51790000402,2020,126
51790000402,2021,124
51015070702,2017,100
51015070702,2018,99
51015070702,2019,95
51015070702,2020,126
51015070702,2021,124
51015070700,2017,144
51015070700,2018,138
51015070700,2019,136
51015070700,2020,86
51015070700,2021,86
51015070400,2017,99
51015070400,2018,98
51015070400,2019,94
51015070701,2017,100
51015070701,2018,99
51015070701,2019,95
51015070701,2020,126
51015070701,2021,124
51029930101,2017,20
51029930101,2018,18
51029930101,2019,19
51029930101,2020,19
51029930101,2021,19
51125950101,2017,6
51125950101,2018,5
51125950101,2019,5
51125950101,2020,15
51125950101,2021,13
51125950100,2017,13
51125950100,2018,12
51125950100,2019,13
51125950100,2020,6
51125950100,2021,5
51023040301,2017,231
51023040301,2018,254
51023040301,2019,253
51023040301,2020,284
51023040301,2021,275
51023040100,2017,15
51023040100,2018,13
51023040100,2019,14
51023040100,2020,21
51023040100,2021,18
51005080202,2017,9
51005080202,2018,8
51005080202,2019,9
51005080202,2020,10
51005080202,2021,7
51580060200,2017,8
51580060200,2018,7
51580060200,2019,8
51580060200,2020,12
51580060200,2021,8
51678930501,2017,10
51678930501,2018,8
51678930501,2019,9
51678930501,2020,29
51678930501,2021,29
51678930500,2017,24
51678930500,2018,26
51678930500,2019,28
51678930500,2020,9
51678930500,2021,9
51163930302,2017,8
51163930302,2018,6
51163930302,2019,7
51163930302,2020,27
51163930302,2021,27
51678980000,2017,10
51678980000,2018,8
51678980000,2019,9
51678980000,2020,29
51678980000,2021,29
51580060100,2017,8
51580060100,2018,7
51580060100,2019,8
51580060100,2020,12
51580060100,2021,8
51005070100,2017,9
51005070100,2018,7
51005070100,2019,8
51005070100,2020,13
51005070100,2021,9
51005080201,2017,8
51005080201,2018,7
51005080201,2019,8
51005080201,2020,12
51005080201,2021,8
51005080301,2017,8
51005080301,2018,7
51005080301,2019,8
51005080301,2020,12
51005080301,2021,8
51017920102,2017,8
51017920102,2018,7
51017920102,2019,8
51017920102,2020,12
51017920102,2021,8
51017920100,2017,12
51017920100,2018,8
51017920100,2019,10
51017920100,2020,9
51017920100,2021,5
51017920101,2017,6
51017920101,2018,5
51017920101,2019,6
51017920101,2020,9
51017920101,2021,7
51005080100,2017,8
51005080100,2018,7
51005080100,2019,8
51005080100,2020,23
51005080100,2021,18
51005080302,2021,1
51135000101,2017,13
51135000101,2018,12
51135000101,2019,10
51135000101,2020,24
51135000101,2021,25
51135980100,2017,11
51135980100,2018,10
51135980100,2019,9
51135980100,2020,12
51135980100,2021,10
51053980100,2017,10
51053980100,2018,9
51053980100,2019,10
51053980100,2020,14
51053980100,2021,12
51053840101,2017,22
51053840101,2018,17
51053840101,2019,17
51053840101,2020,21
51053840101,2021,18
51135000100,2017,15
51135000100,2018,14
51135000100,2019,13
51135000100,2020,8
51135000100,2021,7
51135000200,2017,9
51135000200,2018,8
51135000200,2019,7
51135000200,2020,25
51135000200,2021,20
51135000102,2017,12
51135000102,2018,12
51135000102,2019,12
51135000102,2020,20
51135000102,2021,17
51135000300,2017,10
51135000300,2018,9
51135000300,2019,8
51135000300,2020,26
51135000300,2021,21
51053840200,2017,107
51053840200,2018,105
51053840200,2019,94
51053840200,2020,100
51053840200,2021,93
51053840300,2017,151
51053840300,2018,142
51053840300,2019,135
51053840300,2020,157
51053840300,2021,147
51053840400,2017,351
51053840400,2018,339
51053840400,2019,328
51053840400,2020,396
51053840400,2021,374
51041100704,2017,513
51041100704,2018,499
51041100704,2019,479
51041100704,2020,600
51041100704,2021,581
51147930102,2017,8
51147930102,2018,7
51147930102,2019,7
51147930102,2020,21
51147930102,2021,17
51147930100,2017,25
51147930100,2018,25
51147930100,2019,24
51147930100,2020,6
51147930100,2021,6
51041100703,2017,650
51041100703,2018,639
51041100703,2019,616
51041100703,2020,477
51041100703,2021,465
51041100705,2017,513
51041100705,2018,499
51041100705,2019,479
51041100705,2020,600
51041100705,2021,581
51041101004,2017,485
51041101004,2018,474
51041101004,2019,454
51041101004,2020,532
51041101004,2021,516
51007930101,2017,7
51007930101,2018,6
51007930101,2019,6
51007930101,2020,18
51007930101,2021,15
51041101014,2017,601
51041101014,2018,582
51041101014,2019,558
51041101014,2020,750
51041101014,2021,728
51041100821,2017,597
51041100821,2018,577
51041100821,2019,555
51041100821,2020,730
51041100821,2021,704
51041101010,2017,808
51041101010,2018,781
51041101010,2019,756
51041101010,2020,548
51041101010,2021,533
51041101015,2017,598
51041101015,2018,577
51041101015,2019,553
51041101015,2020,745
51041101015,2021,723
51041101009,2017,573
51041101009,2018,552
51041101009,2019,531
51041101009,2020,684
51041101009,2021,664
51007930100,2017,57
51007930100,2018,54
51007930100,2019,58
51007930100,2020,37
51007930100,2021,35
51041101011,2017,586
51041101011,2018,569
51041101011,2019,546
51041101011,2020,760
51041101011,2021,739
51041101013,2017,591
51041101013,2018,574
51041101013,2019,551
51041101013,2020,763
51041101013,2021,741
51041101012,2017,591
51041101012,2018,574
51041101012,2019,551
51041101012,2020,769
51041101012,2021,748
51041101008,2017,569
51041101008,2018,554
51041101008,2019,531
51041101008,2020,748
51041101008,2021,728
51041101003,2017,496
51041101003,2018,479
51041101003,2019,468
51041101003,2020,636
51041101003,2021,619
51041101007,2017,566
51041101007,2018,551
51041101007,2019,529
51041101007,2020,736
51041101007,2021,717
51007930102,2017,73
51007930102,2018,66
51007930102,2019,70
51007930102,2020,93
51007930102,2021,97
51041100933,2017,593
51041100933,2018,577
51041100933,2019,554
51041100933,2020,772
51041100933,2021,751
51041100934,2017,610
51041100934,2018,591
51041100934,2019,569
51041100934,2020,785
51041100934,2021,762
51041100812,2017,610
51041100812,2018,591
51041100812,2019,568
51041100812,2020,771
51041100812,2021,747
51041100912,2017,591
51041100912,2018,574
51041100912,2019,551
51041100912,2020,769
51041100912,2021,748
51041100919,2017,610
51041100919,2018,591
51041100919,2019,569
51041100919,2020,785
51041100919,2021,762
51041100937,2017,582
51041100937,2018,566
51041100937,2019,545
51041100937,2020,763
51041100937,2021,743
51041100206,2017,620
51041100206,2018,600
51041100206,2019,578
51041100206,2020,788
51041100206,2021,762
51041100208,2017,596
51041100208,2018,579
51041100208,2019,556
51041100208,2020,774
51041100208,2021,752
51041100932,2017,595
51041100932,2018,578
51041100932,2019,555
51041100932,2020,773
51041100932,2021,751
51041100927,2017,795
51041100927,2018,776
51041100927,2019,756
51041100927,2020,534
51041100927,2021,521
51041100910,2017,598
51041100910,2018,582
51041100910,2019,559
51041100910,2020,777
51041100910,2021,755
51145500102,2017,474
51145500102,2018,458
51145500102,2019,450
51145500102,2020,618
51145500102,2021,604
51041100938,2017,556
51041100938,2018,544
51041100938,2019,527
51041100938,2020,746
51041100938,2021,726
51041100929,2017,578
51041100929,2018,563
51041100929,2019,542
51041100929,2020,760
51041100929,2021,740
51041100931,2017,589
51041100931,2018,573
51041100931,2019,551
51041100931,2020,768
51041100931,2021,746
51041100928,2017,564
51041100928,2018,551
51041100928,2019,530
51041100928,2020,748
51041100928,2021,729
51041100930,2017,574
51041100930,2018,561
51041100930,2019,541
51041100930,2020,760
51041100930,2021,739
51041100915,2017,583
51041100915,2018,568
51041100915,2019,547
51041100915,2020,765
51041100915,2021,744
51145500202,2017,279
51145500202,2018,271
51145500202,2019,266
51145500202,2020,413
51145500202,2021,410
51145500400,2017,125
51145500400,2018,124
51145500400,2019,126
51145500400,2020,146
51145500400,2021,156
51145500101,2017,473
51145500101,2018,457
51145500101,2019,448
51145500101,2020,612
51145500101,2021,595
51145500200,2017,459
51145500200,2018,452
51145500200,2019,446
51145500200,2020,285
51145500200,2021,286
51007930200,2017,81
51007930200,2018,75
51007930200,2019,78
51007930200,2020,99
51007930200,2021,104
51680001600,2017,145
51680001600,2018,133
51680001600,2019,133
51680000900,2017,140
51680000900,2018,128
51680000900,2019,128
51009010502,2017,119
51009010502,2018,112
51009010502,2019,110
51680000202,2017,139
51680000202,2018,127
51680000202,2019,126
51009010503,2017,120
51009010503,2018,113
51009010503,2019,111
51009010200,2017,107
51009010200,2018,102
51009010200,2019,96
51031020200,2020,128
51031020200,2021,124
51031020401,2020,133
51031020401,2021,129
51031020300,2020,133
51031020300,2021,129
51680001602,2020,133
51680001602,2021,129
51680001603,2020,133
51680001603,2021,129
51031020101,2020,124
51031020101,2021,121
51680001601,2020,133
51680001601,2021,129
51680001700,2020,133
51680001700,2021,129
51680001400,2020,128
51680001400,2021,124
51680000901,2020,133
51680000901,2021,129
51680001800,2020,134
51680001800,2021,131
51680001000,2020,128
51680001000,2021,124
51680000902,2020,129
51680000902,2021,126
51680001900,2020,128
51680001900,2021,124
51680000802,2020,128
51680000802,2021,124
51680000203,2020,126
51680000203,2021,123
51680000801,2020,125
51680000801,2021,121
51680000700,2020,128
51680000700,2021,124
51680001100,2020,128
51680001100,2021,124
51680000205,2020,123
51680000205,2021,120
51009010505,2020,125
51009010505,2021,121
51680000204,2020,126
51680000204,2021,123
51680000600,2020,126
51680000600,2021,123
51680000500,2020,125
51680000500,2021,121
51680000300,2020,125
51680000300,2021,121
51680000400,2020,123
51680000400,2021,120
51680000201,2020,120
51680000201,2021,118
51009010504,2020,110
51009010504,2021,110
51009010506,2020,115
51009010506,2021,114
51011040200,2020,76
51011040200,2021,74
51009010600,2020,109
51009010600,2021,108
51680000100,2020,123
51680000100,2021,120
51019030101,2020,119
51019030101,2021,117
51009010402,2020,110
51009010402,2021,110
51009010401,2020,111
51009010401,2021,110
51009010300,2020,107
51009010300,2021,108
51009010202,2020,82
51009010202,2021,79
51009010100,2020,37
51009010100,2021,37
51009010201,2020,95
51009010201,2021,95
51031020800,2019,86
51031020500,2019,89
51031020102,2019,83
51031020403,2019,89
51031020402,2019,88
51011040101,2019,84
51031020200,2019,83
51031020401,2019,88
51019030203,2019,85
51031020300,2019,88
51680001602,2019,88
51011040100,2019,119
51680001603,2019,88
51019030104,2019,88
51031020101,2019,83
51680001601,2019,88
51019030201,2019,122
51680001700,2019,88
51019030204,2019,83
51680001400,2019,83
51680000901,2019,88
51680001800,2019,89
51011040102,2019,68
51680001000,2019,83
51019030103,2019,82
51680000902,2019,84
51680001900,2019,83
51680000802,2019,83
51680000203,2019,81
51680000801,2019,80
51680000700,2019,83
51680001100,2019,83
51680000205,2019,78
51009010505,2019,80
51680000204,2019,81
51680000600,2019,81
51680000500,2019,80
51680000300,2019,80
51680000400,2019,78
51680000201,2019,78
51009010504,2019,78
51009010506,2019,78
51011040200,2019,61
51009010600,2019,77
51680000100,2019,78
51019030101,2019,78
51009010401,2019,79
51009010300,2019,78
51009010202,2019,64
51009010201,2019,66
51163930400,2019,10
51009010100,2019,13
51009010402,2019,78
51019050100,2017,189
51019050100,2018,187
51019050100,2019,190
51011040100,2017,128
51011040100,2018,120
51019030201,2017,134
51019030201,2018,123
51031020800,2017,95
51031020800,2018,88
51031020800,2020,117
51031020800,2021,116
51031020500,2017,98
51031020500,2018,91
51031020500,2020,133
51031020500,2021,129
51031020102,2017,92
51031020102,2018,85
51031020102,2020,115
51031020102,2021,114
51031020403,2017,99
51031020403,2018,91
51031020403,2020,130
51031020403,2021,127
51031020402,2017,98
51031020402,2018,90
51031020402,2020,128
51031020402,2021,125
51011040101,2017,92
51011040101,2018,85
51011040101,2020,113
51011040101,2021,112
51031020200,2017,92
51031020200,2018,85
51031020401,2017,98
51031020401,2018,90
51019030203,2017,95
51019030203,2018,88
51019030203,2020,125
51019030203,2021,122
51031020300,2017,98
51031020300,2018,90
51680001602,2017,98
51680001602,2018,90
51011040100,2020,84
51011040100,2021,82
51680001603,2017,98
51680001603,2018,90
51019030104,2017,98
51019030104,2018,90
51019030104,2020,128
51019030104,2021,125
51031020101,2017,92
51031020101,2018,85
51680001600,2020,92
51680001600,2021,90
51680001601,2017,98
51680001601,2018,90
51019030201,2020,87
51019030201,2021,85
51680001700,2017,98
51680001700,2018,90
51019030204,2017,92
51019030204,2018,85
51019030204,2020,122
51019030204,2021,119
51680001400,2017,93
51680001400,2018,85
51680000901,2017,98
51680000901,2018,90
51680001800,2017,100
51680001800,2018,91
51680000900,2020,87
51680000900,2021,85
51011040102,2017,81
51011040102,2018,72
51011040102,2020,111
51011040102,2021,108
51680001000,2017,93
51680001000,2018,85
51019030103,2017,91
51019030103,2018,84
51019030103,2020,122
51019030103,2021,119
51680000902,2017,95
51680000902,2018,86
51680001900,2017,92
51680001900,2018,85
51680000802,2017,93
51680000802,2018,85
51680000203,2017,92
51680000203,2018,84
51680000801,2017,90
51680000801,2018,83
51680000700,2017,93
51680000700,2018,85
51680001100,2017,93
51680001100,2018,85
51009010502,2020,81
51009010502,2021,79
51680000205,2017,88
51680000205,2018,80
51680000202,2020,85
51680000202,2021,84
51009010505,2017,89
51009010505,2018,81
51680000204,2017,92
51680000204,2018,84
51680000600,2017,92
51680000600,2018,84
51680000500,2017,90
51680000500,2018,83
51680000300,2017,90
51680000300,2018,83
51680000400,2017,88
51680000400,2018,80
51680000201,2017,88
51680000201,2018,80
51009010503,2020,82
51009010503,2021,81
51009010506,2017,87
51009010506,2018,80
51009010600,2017,85
51009010600,2018,79
51680000100,2017,88
51680000100,2018,80
51019030101,2017,88
51019030101,2018,80
51009010402,2017,87
51009010402,2018,80
51009010401,2017,85
51009010401,2018,81
51009010300,2017,88
51009010300,2018,80
51009010202,2017,72
51009010202,2018,70
51009010200,2020,69
51009010200,2021,67
51009010201,2017,77
51009010201,2018,72
51163930400,2017,13
51163930400,2018,10
51163930400,2020,53
51163930400,2021,54
51009010100,2017,15
51009010100,2018,12
51009010504,2017,87
51009010504,2018,80
51037930100,2017,28
51037930100,2018,28
51037930100,2019,28
51147930203,2017,22
51147930203,2018,22
51147930203,2019,21
51147930201,2017,22
51147930201,2018,22
51147930201,2019,21
51031020900,2020,44
51031020900,2021,46
51037930102,2020,24
51037930102,2021,20
51147930302,2020,25
51147930302,2021,21
51147930202,2020,20
51147930202,2021,16
51147930204,2020,20
51147930204,2021,16
51011040300,2020,85
51011040300,2021,81
51029930202,2020,7
51029930202,2021,7
51153901016,2017,846
51153901016,2018,842
51153901016,2019,879
51153901016,2020,1132
51153901016,2021,1166
51153900702,2017,831
51153900702,2018,829
51153900702,2019,864
51153900702,2020,1118
51153900702,2021,1151
51153900701,2017,914
51153900701,2018,905
51153900701,2019,939
51153900701,2020,1200
51153900701,2021,1237
51153900410,2017,840
51153900410,2018,839
51153900410,2019,875
51153900410,2020,1132
51153900410,2021,1165
51153900502,2017,883
51153900502,2018,876
51153900502,2019,912
51153900502,2020,1171
51153900502,2021,1206
51153900409,2017,840
51153900409,2018,839
51153900409,2019,875
51153900409,2020,1134
51153900409,2021,1166
51153900601,2017,900
51153900601,2018,890
51153900601,2019,922
51153900601,2020,1184
51153900601,2021,1220
51153900404,2017,846
51153900404,2018,845
51153900404,2019,882
51153900404,2020,1149
51153900404,2021,1182
51153900600,2017,1219
51153900600,2018,1190
51153900600,2019,1237
51153900600,2020,913
51153900600,2021,939
51153900100,2017,897
51153900100,2018,885
51153900100,2019,920
51153900100,2020,1132
51153900100,2021,1173
51153900504,2017,903
51153900504,2018,893
51153900504,2019,926
51153900504,2020,1134
51153900504,2021,1172
51153900501,2017,1143
51153900501,2018,1125
51153900501,2019,1173
51153900501,2020,912
51153900501,2021,936
51153900403,2017,914
51153900403,2018,905
51153900403,2019,939
51153900403,2020,1211
51153900403,2021,1249
51153900503,2017,906
51153900503,2018,898
51153900503,2019,930
51153900503,2020,1193
51153900503,2021,1230
51153900602,2017,905
51153900602,2018,895
51153900602,2019,928
51153900602,2020,1143
51153900602,2021,1186
51153901203,2017,846
51153901203,2018,842
51153901203,2019,880
51153901203,2020,1091
51153901203,2021,1129
51153900203,2017,905
51153900203,2018,895
51153900203,2019,928
51153900203,2020,1143
51153900203,2021,1186
51059416300,2017,827
51059416300,2018,817
51059416300,2019,859
51059416300,2020,1055
51059416300,2021,1092
51153900202,2017,909
51153900202,2018,899
51153900202,2019,932
51153900202,2020,1148
51153900202,2021,1193
51153900201,2017,909
51153900201,2018,899
51153900201,2019,932
51153900201,2020,1153
51153900201,2021,1198
51153900302,2017,911
51153900302,2018,900
51153900302,2019,936
51153900302,2020,1154
51153900302,2021,1201
51153901209,2017,911
