"","geoid","value","year","measure","moe"
"78","51710004600",0.689351464499782,2016,"incarceration_rate_per_100000",NA
"79","51770000900",0.809715296555405,2016,"incarceration_rate_per_100000",NA
"80","51520020201",0.835757477374934,2016,"incarceration_rate_per_100000",NA
"81","51810040600",0.990886932185679,2016,"incarceration_rate_per_100000",NA
"82","51700032300",0.968397647604882,2016,"incarceration_rate_per_100000",NA
"83","51059415401",0.952165204079143,2016,"incarceration_rate_per_100000",NA
"84","51700032006",0.86832317829742,2016,"incarceration_rate_per_100000",NA
"85","51710001400",0.904795487445335,2016,"incarceration_rate_per_100000",NA
"86","51710003400",0.782750082656581,2016,"incarceration_rate_per_100000",NA
"87","51730810400",0.729838604166889,2016,"incarceration_rate_per_100000",NA
"88","51680000700",0.840447747221876,2016,"incarceration_rate_per_100000",NA
"89","51760071004",0.909291968627338,2016,"incarceration_rate_per_100000",NA
"90","51710001100",0.618206925987716,2016,"incarceration_rate_per_100000",NA
"91","51013101701",1.12831337985047,2016,"incarceration_rate_per_100000",NA
"92","51710005901",0.919052196110665,2016,"incarceration_rate_per_100000",NA
"93","51059450702",0.842707343438101,2016,"incarceration_rate_per_100000",NA
"94","51680001900",0.779872769877482,2016,"incarceration_rate_per_100000",NA
"95","51710004400",0.880491828446387,2016,"incarceration_rate_per_100000",NA
"96","51710005500",0.908976399130943,2016,"incarceration_rate_per_100000",NA
"97","51059480203",1.03699524007249,2016,"incarceration_rate_per_100000",NA
"98","51177020313",0.994265957792232,2016,"incarceration_rate_per_100000",NA
"99","51710004500",0.821606686850225,2016,"incarceration_rate_per_100000",NA
"100","51510200409",0.993361764158885,2016,"incarceration_rate_per_100000",NA
"101","51730811200",0.876623757690731,2016,"incarceration_rate_per_100000",NA
"102","51670820100",0.769542060700605,2016,"incarceration_rate_per_100000",NA
"103","51013103504",0.988700490486165,2016,"incarceration_rate_per_100000",NA
"104","51510200109",0.976940607173082,2016,"incarceration_rate_per_100000",NA
"105","51059480205",1.06250068432385,2016,"incarceration_rate_per_100000",NA
"106","51013102200",0.929632943515246,2016,"incarceration_rate_per_100000",NA
"107","51540000202",0.943156981675338,2016,"incarceration_rate_per_100000",NA
"108","51540000401",0.917245207735645,2016,"incarceration_rate_per_100000",NA
"109","51680000205",0.910156427533725,2016,"incarceration_rate_per_100000",NA
"110","51710005800",0.813591836253527,2016,"incarceration_rate_per_100000",NA
"111","51199050207",1.03020890533981,2016,"incarceration_rate_per_100000",NA
"112","51760020700",0.808985323931099,2016,"incarceration_rate_per_100000",NA
"113","51710001600",0.819819888615416,2016,"incarceration_rate_per_100000",NA
"114","51700032126",0.924264435897524,2016,"incarceration_rate_per_100000",NA
"115","51740211100",0.729039375962837,2016,"incarceration_rate_per_100000",NA
"116","51550020910",0.943448525449632,2016,"incarceration_rate_per_100000",NA
"117","51730811300",0.800871177151045,2016,"incarceration_rate_per_100000",NA
"118","51153900203",0.956293350431887,2016,"incarceration_rate_per_100000",NA
"119","51710004002",0.956092446746785,2016,"incarceration_rate_per_100000",NA
"120","51550020500",0.85640098080993,2016,"incarceration_rate_per_100000",NA
"121","51059421500",0.892368043441634,2016,"incarceration_rate_per_100000",NA
"122","51710006400",0.846570933073408,2016,"incarceration_rate_per_100000",NA
"123","51510201602",1.03091846301408,2016,"incarceration_rate_per_100000",NA
"124","51700032123",0.906705274028741,2016,"incarceration_rate_per_100000",NA
"125","51153900602",0.899363810876716,2016,"incarceration_rate_per_100000",NA
"126","51710006501",0.896615652109019,2016,"incarceration_rate_per_100000",NA
"127","51149850200",0.947291981844601,2016,"incarceration_rate_per_100000",NA
"128","51650010504",0.824542945453638,2016,"incarceration_rate_per_100000",NA
