geoid,year,measure,value,moe
11001,2019,avg_up_using_devices,62.17,
11001,2020,avg_up_using_devices,72.78,
11001,2021,avg_up_using_devices,83.09,
11001000100,2019,avg_up_using_devices,32.73,
110010001001,2019,avg_up_using_devices,42.07,
110010001002,2019,avg_up_using_devices,27.32,
110010001003,2019,avg_up_using_devices,36.22,
110010001004,2019,avg_up_using_devices,25.04,
11001000101,2020,avg_up_using_devices,41.77,
11001000101,2021,avg_up_using_devices,63.63,
110010001011,2020,avg_up_using_devices,41.77,
110010001011,2021,avg_up_using_devices,63.63,
11001000102,2020,avg_up_using_devices,57.51,
11001000102,2021,avg_up_using_devices,52.48,
110010001021,2020,avg_up_using_devices,54.82,
110010001021,2021,avg_up_using_devices,71.95,
110010001022,2020,avg_up_using_devices,49.52,
110010001022,2021,avg_up_using_devices,59.28,
110010001023,2020,avg_up_using_devices,61.78,
110010001023,2021,avg_up_using_devices,37.07,
11001000201,2019,avg_up_using_devices,126.06,
11001000201,2020,avg_up_using_devices,29.56,
11001000201,2021,avg_up_using_devices,43.93,
110010002011,2019,avg_up_using_devices,126.06,
110010002011,2020,avg_up_using_devices,27.48,
110010002011,2021,avg_up_using_devices,27.31,
110010002012,2020,avg_up_using_devices,30.64,
110010002012,2021,avg_up_using_devices,49.4,
11001000202,2019,avg_up_using_devices,41.78,
11001000202,2020,avg_up_using_devices,49.51,
11001000202,2021,avg_up_using_devices,61.48,
110010002021,2019,avg_up_using_devices,45.56,
110010002021,2020,avg_up_using_devices,63.36,
110010002021,2021,avg_up_using_devices,71.38,
110010002022,2019,avg_up_using_devices,43.56,
110010002022,2020,avg_up_using_devices,48.02,
110010002022,2021,avg_up_using_devices,47.01,
110010002023,2019,avg_up_using_devices,37.62,
110010002023,2020,avg_up_using_devices,51.75,
110010002023,2021,avg_up_using_devices,43.12,
110010002024,2019,avg_up_using_devices,40.97,
110010002024,2020,avg_up_using_devices,39.11,
110010002024,2021,avg_up_using_devices,52.52,
11001000300,2019,avg_up_using_devices,49.93,
11001000300,2020,avg_up_using_devices,47.94,
11001000300,2021,avg_up_using_devices,45.3,
110010003001,2019,avg_up_using_devices,57,
110010003001,2020,avg_up_using_devices,46.65,
110010003001,2021,avg_up_using_devices,53.96,
110010003002,2019,avg_up_using_devices,33.19,
110010003002,2020,avg_up_using_devices,37.75,
110010003002,2021,avg_up_using_devices,40.7,
110010003003,2019,avg_up_using_devices,54.68,
110010003003,2020,avg_up_using_devices,51.11,
110010003003,2021,avg_up_using_devices,48.55,
110010003004,2019,avg_up_using_devices,52.78,
110010003004,2020,avg_up_using_devices,49.18,
110010003004,2021,avg_up_using_devices,55.8,
11001000400,2019,avg_up_using_devices,46.54,
11001000400,2020,avg_up_using_devices,66.96,
11001000400,2021,avg_up_using_devices,72.22,
110010004001,2019,avg_up_using_devices,45.91,
110010004001,2020,avg_up_using_devices,62.47,
110010004001,2021,avg_up_using_devices,64.98,
110010004002,2019,avg_up_using_devices,47.46,
110010004002,2020,avg_up_using_devices,60.86,
110010004002,2021,avg_up_using_devices,66.24,
11001000501,2019,avg_up_using_devices,59.61,
11001000501,2020,avg_up_using_devices,54.9,
11001000501,2021,avg_up_using_devices,72.58,
110010005011,2019,avg_up_using_devices,71.34,
110010005011,2020,avg_up_using_devices,58.16,
110010005011,2021,avg_up_using_devices,71.24,
110010005012,2019,avg_up_using_devices,55.89,
110010005012,2020,avg_up_using_devices,80.23,
110010005012,2021,avg_up_using_devices,104.29,
110010005013,2020,avg_up_using_devices,56.44,
110010005013,2021,avg_up_using_devices,78.92,
11001000502,2019,avg_up_using_devices,63.91,
11001000502,2020,avg_up_using_devices,71.07,
11001000502,2021,avg_up_using_devices,85.46,
110010005021,2019,avg_up_using_devices,66.71,
110010005021,2020,avg_up_using_devices,71.05,
110010005021,2021,avg_up_using_devices,86.72,
110010005022,2019,avg_up_using_devices,68.83,
110010005022,2020,avg_up_using_devices,67.44,
110010005022,2021,avg_up_using_devices,67.37,
11001000600,2019,avg_up_using_devices,62.6,
