desc,weighted_mean
asian,40.52402740726844
black,38.916729551618175
hispanic or latino,42.79846232233947
native,46.81367372316393
native hawaiian or other pacific islander,36.19706060914124
other races,45.46653831530129
two or more races,40.96952305856571
white,41.704398435212035
white non-hispanic,41.46312391271723
