geoid,region_type,region_name,year,measure,value,measure_type
11001,county,District of Columbia,2000,eviction-filings,0,count
11001,county,District of Columbia,2001,eviction-filings,0,count
11001,county,District of Columbia,2002,eviction-filings,0,count
11001,county,District of Columbia,2003,eviction-filings,0,count
11001,county,District of Columbia,2004,eviction-filings,0,count
11001,county,District of Columbia,2005,eviction-filings,0,count
11001,county,District of Columbia,2006,eviction-filings,45213,count
11001,county,District of Columbia,2007,eviction-filings,45256,count
11001,county,District of Columbia,2008,eviction-filings,43502,count
11001,county,District of Columbia,2009,eviction-filings,37286,count
11001,county,District of Columbia,2010,eviction-filings,32473,count
11001,county,District of Columbia,2011,eviction-filings,30733,count
11001,county,District of Columbia,2012,eviction-filings,29121,count
11001,county,District of Columbia,2013,eviction-filings,0,count
11001,county,District of Columbia,2014,eviction-filings,0,count
11001,county,District of Columbia,2015,eviction-filings,0,count
11001,county,District of Columbia,2016,eviction-filings,27434,count
24017,county,"Charles County, Maryland",2000,eviction-filings,0,count
24017,county,"Charles County, Maryland",2001,eviction-filings,0,count
24017,county,"Charles County, Maryland",2002,eviction-filings,0,count
24017,county,"Charles County, Maryland",2003,eviction-filings,0,count
24017,county,"Charles County, Maryland",2004,eviction-filings,0,count
24017,county,"Charles County, Maryland",2005,eviction-filings,0,count
24017,county,"Charles County, Maryland",2006,eviction-filings,2509,count
24017,county,"Charles County, Maryland",2007,eviction-filings,1578,count
24017,county,"Charles County, Maryland",2008,eviction-filings,0,count
24017,county,"Charles County, Maryland",2009,eviction-filings,0,count
24017,county,"Charles County, Maryland",2010,eviction-filings,0,count
24017,county,"Charles County, Maryland",2011,eviction-filings,0,count
24017,county,"Charles County, Maryland",2012,eviction-filings,0,count
24017,county,"Charles County, Maryland",2013,eviction-filings,0,count
24017,county,"Charles County, Maryland",2014,eviction-filings,0,count
24017,county,"Charles County, Maryland",2015,eviction-filings,0,count
24017,county,"Charles County, Maryland",2016,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2000,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2001,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2002,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2003,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2004,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2005,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2006,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2007,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2008,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2009,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2010,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2011,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2012,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2013,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2014,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2015,eviction-filings,0,count
24021,county,"Frederick County, Maryland",2016,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2000,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2001,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2002,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2003,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2004,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2005,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2006,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2007,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2008,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2009,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2010,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2011,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2012,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2013,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2014,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2015,eviction-filings,0,count
24031,county,"Montgomery County, Maryland",2016,eviction-filings,0,count
24033,county,"Prince George's County, Maryland",2000,eviction-filings,0,count
24033,county,"Prince George's County, Maryland",2001,eviction-filings,0,count
24033,county,"Prince George's County, Maryland",2002,eviction-filings,0,count
24033,county,"Prince George's County, Maryland",2003,eviction-filings,0,count
24033,county,"Prince George's County, Maryland",2004,eviction-filings,0,count
24033,county,"Prince George's County, Maryland",2005,eviction-filings,0,count
24033,county,"Prince George's County, Maryland",2006,eviction-filings,0,count
24033,county,"Prince George's County, Maryland",2007,eviction-filings,0,count
24033,county,"Prince George's County, Maryland",2008,eviction-filings,0,count
24033,county,"Prince George's County, Maryland",2009,eviction-filings,72442,count
24033,county,"Prince George's County, Maryland",2010,eviction-filings,128501,count
24033,county,"Prince George's County, Maryland",2011,eviction-filings,129901,count
24033,county,"Prince George's County, Maryland",2012,eviction-filings,129865,count
24033,county,"Prince George's County, Maryland",2013,eviction-filings,135369,count
24033,county,"Prince George's County, Maryland",2014,eviction-filings,143753,count
24033,county,"Prince George's County, Maryland",2015,eviction-filings,132827,count
24033,county,"Prince George's County, Maryland",2016,eviction-filings,136730,count
51013,county,"Arlington County, Virginia",2000,eviction-filings,0,count
51013,county,"Arlington County, Virginia",2001,eviction-filings,2138,count
51013,county,"Arlington County, Virginia",2002,eviction-filings,2004,count
