"ID","UST","DSLPM","CANCER","RESP","PTRAF","PWDIS","PNPL","PRMP","PTSDF","OZONE","PM25","PRE1960PCT","PC1","PC_z","FIPS","Geographic Area Name","Tpop","**Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","**Spatial Segregation","Income Inequality","Affordability*","Environmental","Food Access*","Townsend","Incarceration*","Mobility*"
51001090101,0.721595023974,0.080813641653974,20,0.2,0,0,0.013918479950828,0.061250946291988,0.097176325401459,41.2679954248366,6.27159775342466,0.214864221057646,-1.47800090491949,-1.47800090491949,51001,"Census Tract 901.01, Accomack County, Virginia",1776,1.50770643007629,14.2,1992,59.5,827.7,8,-0.77458599479,0.4315,62,-0.919834290712141,0.11934716082965,0.229265369606798,222,15.3
51001090102,0.733122626257,0.080813641653974,20,0.2,0,0,0.013668266858962,0.067494807520738,0.117363356337531,41.2679954248366,6.27159775342466,0.373920552677029,-1.42764654529765,-1.42764654529765,51001,"Census Tract 901.02, Accomack County, Virginia",1109,0.596883848100632,14.2,1916,41.2,626.6,9.7,-0.997097907877,0.5075,67,-0.908150634265769,0.11934716082965,0.306073156495722,515,3.8
51001090201,0.389516966381,0.092271532784566,20,0.2,4.43219236128521,0.005285318612738,0.014605042711699,0.150678247576354,0.510191773207383,41.0440862745098,6.35176832876712,0.05387556482447,-1.44318010302072,-1.44318010302072,51001,"Census Tract 902.01, Accomack County, Virginia",2652,0.502755423877375,12.7,2197,40.7,111.5,3.2,-1.23901776318,0.3369,58,-0.906867043436757,0.30912930474334,0.153548899169809,250,10.1
51001090202,0.27973951344,0.092271532784566,20,0.2,95.9615238766927,0.006411071069579,0.013260716739534,0.370275478836957,0.324898675297322,41.0440862745098,6.35176832876712,0.165912518853695,-1.39841081238844,-1.39841081238844,51001,"Census Tract 902.02, Accomack County, Virginia",2903,-1.20812349219406,12.5,2459,58.1,70.2,6,-0.0613333999939,0.4037,41,-0.880416356590145,0.30912930474334,0.194925504097111,717,7.7
51001090300,0.0388523626675,0.083444412749869,20,0.2,28.4119085305582,0.000913616866262,0.012325980778418,0.27622976494132,0.071223717602223,41.5260993464052,6.31527920547945,0.377777777777777,-1.37900800316852,-1.37900800316853,51001,"Census Tract 903, Accomack County, Virginia",2312,-1.9129439235584,12.3,1678,51.1,51.1,6.7,-1.13514970439,0.5016,54,-0.905831848998902,0.555888650963597,0.261061372752351,806,7.9
51001090401,0.139772363941,0.103078374830047,20,0.2,171.669847699161,9.8880209999e-05,0.011472780596352,0.16392103710002,0.066378625891503,41.2518718954248,6.27094649315069,0.308904649330181,-1.38906878046885,-1.38906878046886,51001,"Census Tract 904.01, Accomack County, Virginia",3162,-2.45575343404565,11.6,1627,67.5,105.8,5.2,-0.582638025141,0.3652,54,-0.90499879006224,0.475136349053577,0.369542120915383,768,6.8
51001090402,0.227220888697,0.103078374830047,20,0.2,100.475789860567,0.048874218603228,0.011090127194903,0.374923029126743,0.039545142455329,41.2518718954248,6.27094649315069,0.211418880723572,-1.4047197534096,-1.4047197534096,51001,"Census Tract 904.02, Accomack County, Virginia",3886,-3.21539824563448,11.2,2453,50.9,94.1,6.2,-0.319225149127,0.5155,55,-0.895202518291651,0.475136349053577,0.45618067684129,903,12.3
51001090500,0.405548458979,0.091701268560531,20,0.2,16.5485910771656,1.04252738507223,0.011630136162034,0.232647860201986,0.041736017721658,41.5376823529412,6.27744375342466,0.547360248447205,-1.32617588458344,-1.32617588458344,51001,"Census Tract 905, Accomack County, Virginia",2187,0.173128605393953,11.7,2349,62.5,148.1,10.3,-1.15704434115,0.4158,53,-0.888184750592938,0.404352404352404,0.305231043974118,910,3.5
51001090600,0.10911827304,0.090524196447436,20,0.2,10.9765507538787,0.00741701816513,0.012340464129036,0.105708051331642,0.02842897765364,41.9724986928105,6.26782076712329,0.380155642023346,-1.36571741986814,-1.36571741986814,51001,"Census Tract 906, Accomack County, Virginia",3569,-0.469808768054242,13.7,2046,49.3,345.5,14.2,-0.917975172278,0.5384,59,-0.899055217595343,0.0677118836628039,0.267589335292114,662,3.7
51001090700,0.202581620719,0.101304829559886,20,0.2,152.87334118874,4.4544404133e-05,0.012711639343711,0.118745115250907,0.024084156828934,41.8082261437908,6.24061665753425,0.417213712618526,-1.33308340700596,-1.33308340700597,51001,"Census Tract 907, Accomack County, Virginia",5420,-1.22946996080444,13.2,1944,61.5,110.9,14.7,-0.231919596001,0.3866,58,-0.886099750819376,0.326268595883432,0.230955554316321,760,11.8
